#ZVView-data-copy:  29-Jan-2019 22:45:26
#=======================================
#
#name:   ENDF/B-VIII.0: C-13(N,G)C-14
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  394
#data...
#            X            Y
#          MeV        barns
         1e-11    0.0754538
   1.10304e-11    0.0718432
   1.21669e-11    0.0684055
   1.34206e-11    0.0651322
   1.48034e-11    0.0620156
   1.63287e-11    0.0590481
   1.80111e-11    0.0562226
   1.98669e-11    0.0535323
   2.19139e-11    0.0509707
   2.41719e-11    0.0485317
   2.66625e-11    0.0462094
   2.94097e-11    0.0439983
     3.244e-11    0.0418929
   3.57825e-11    0.0398883
   3.94694e-11    0.0379796
   4.35362e-11    0.0361623
   4.80221e-11    0.0344319
   5.29701e-11    0.0327843
    5.8428e-11    0.0312155
   6.44483e-11    0.0297218
   7.10888e-11    0.0282996
   7.84136e-11    0.0269455
   8.64931e-11    0.0256561
   9.54051e-11    0.0244284
   1.05235e-10    0.0232595
   1.16078e-10    0.0221465
   1.28039e-10    0.0210868
   1.41231e-10    0.0200778
   1.55784e-10     0.019117
   1.71835e-10    0.0182023
    1.8954e-10    0.0173313
    2.0907e-10     0.016502
   2.30612e-10    0.0157123
   2.54374e-10    0.0149605
   2.80584e-10    0.0142446
   3.09494e-10     0.013563
   3.41383e-10     0.012914
   3.76558e-10    0.0122961
   4.15358e-10    0.0117077
   4.58155e-10    0.0111475
   5.05362e-10    0.0106141
   5.57433e-10    0.0101062
   6.14869e-10   0.00962259
   6.78223e-10   0.00916215
   7.48105e-10   0.00872373
   8.25188e-10    0.0083063
   9.10213e-10   0.00790884
      1.004e-9    0.0075304
    1.10745e-9   0.00717007
    1.22155e-9   0.00682699
    1.34742e-9   0.00650031
    1.48625e-9   0.00618928
    1.63939e-9   0.00589312
    1.80831e-9   0.00561114
    1.99463e-9   0.00534265
    2.20016e-9     0.005087
    2.42685e-9   0.00484359
    2.67691e-9   0.00461183
    2.95273e-9   0.00439116
    3.25697e-9   0.00418105
    3.59256e-9   0.00398099
    3.96272e-9    0.0037905
    4.37103e-9   0.00360913
    4.82141e-9   0.00343644
    5.31819e-9   0.00327201
    5.86616e-9   0.00311546
    6.47059e-9   0.00296639
     7.1373e-9   0.00282445
    7.87271e-9   0.00268931
    8.68389e-9   0.00256064
    9.57865e-9   0.00243812
    1.05656e-8   0.00232146
    1.16543e-8   0.00221039
    1.28551e-8   0.00210463
    1.41796e-8   0.00200393
    1.56406e-8   0.00190805
    1.72522e-8   0.00181676
    1.90298e-8   0.00172984
    2.09906e-8   0.00164708
    2.31534e-8   0.00156828
    2.52419e-8   0.00150201
       2.53e-8   0.00150028
    2.79068e-8   0.00142851
    3.07823e-8   0.00136017
     3.3954e-8   0.00129509
    3.74525e-8   0.00123314
    4.13115e-8   0.00117415
    4.55681e-8   0.00111798
    5.02633e-8    0.0010645
    5.54423e-8   0.00101359
    6.11549e-8  0.000965128
    6.74561e-8  0.000918996
    7.44066e-8  0.000875084
    8.20732e-8   0.00083328
    9.05297e-8  0.000793471
    9.98577e-8  0.000755553
    1.10147e-7  0.000719436
    1.21496e-7  0.000685039
    1.34014e-7  0.000652288
    1.47823e-7  0.000621097
    1.63054e-7  0.000591397
    1.79855e-7  0.000563118
    1.98386e-7  0.000536186
    2.18827e-7  0.000510535
    2.41375e-7  0.000486117
    2.66245e-7  0.000462882
    2.93678e-7   0.00044075
    3.23938e-7  0.000419666
    3.57316e-7  0.000399602
    3.94132e-7  0.000380499
    4.34743e-7  0.000362289
    4.79537e-7  0.000344949
    5.28947e-7  0.000328475
    5.83448e-7  0.000312777
    6.43565e-7  0.000297797
    7.09876e-7  0.000283564
     7.8302e-7  0.000269999
      8.637e-7  0.000257086
    9.52693e-7  0.000244807
    1.05086e-6  0.000233107
    1.15913e-6  0.000221952
    1.27857e-6   0.00021135
    1.42025e-6  0.000200595
    1.56659e-6  0.000190976
    1.72801e-6  0.000181866
    1.90606e-6  0.000173191
    2.10245e-6  0.000164919
    2.31908e-6  0.000157024
    2.55803e-6  0.000149516
    2.84137e-6   0.00014193
    3.13414e-6  0.000135111
    3.45707e-6  0.000128671
    3.81327e-6  0.000122533
    4.20618e-6  0.000116682
    4.63957e-6  0.000111093
    5.11762e-6  0.000105777
    5.64492e-6  0.000100775
    6.18325e-6   9.62628e-5
    6.77258e-6   9.19833e-5
     7.5231e-6   8.72966e-5
    8.29826e-6   8.31069e-5
    9.28242e-6   7.85984e-5
    1.02389e-5   7.48566e-5
    1.12938e-5   7.12923e-5
    1.24575e-5   6.78893e-5
    1.36448e-5   6.49115e-5
    1.50508e-5     6.181e-5
    1.66016e-5   5.88611e-5
    1.85705e-5   5.56803e-5
    2.04839e-5   5.30402e-5
    2.24374e-5   5.06903e-5
    2.45759e-5   4.84427e-5
    2.69195e-5   4.63015e-5
    3.01122e-5   4.37945e-5
    3.32148e-5   4.17044e-5
    3.71541e-5     3.945e-5
    4.09823e-5   3.75814e-5
    4.48884e-5   3.59174e-5
    4.88247e-5    3.4445e-5
    5.34808e-5   3.29156e-5
    5.98236e-5   3.11357e-5
    6.59876e-5   2.96537e-5
    7.38137e-5   2.80458e-5
    8.19895e-5   2.66213e-5
    9.04375e-5   2.53589e-5
   0.000101163   2.39848e-5
   0.000111587   2.28623e-5
   0.000121372   2.19388e-5
   0.000132947   2.09752e-5
   0.000149756   1.97909e-5
