#ZVView-data-copy:   7-May-2019 17:36:01
#=======================================
#
#name:   ENDF/B-VIII.0: CO-59(N,G)CO-60
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  22241
#data...
#            X            Y
#          MeV        barns
         1e-11      1869.15
   1.10304e-11      1779.71
   1.21669e-11      1694.55
   1.34206e-11      1613.46
   1.48034e-11      1536.26
   1.63287e-11      1462.75
   1.80111e-11      1392.75
   1.98669e-11      1326.11
   2.19139e-11      1262.65
   2.41719e-11      1202.23
   2.66625e-11      1144.71
   2.94097e-11      1089.93
     3.244e-11      1037.78
   3.57825e-11      988.118
   3.94694e-11      940.836
   4.35362e-11      895.816
   4.80221e-11      852.951
   5.29701e-11      812.136
    5.8428e-11      773.275
   6.44483e-11      736.273
   7.10888e-11      701.042
   7.84136e-11      667.496
   8.64931e-11      635.556
   9.54051e-11      605.144
   1.05235e-10      576.188
   1.16078e-10      548.617
   1.28039e-10      522.365
   1.41231e-10      497.369
   1.55784e-10       473.57
   1.71835e-10      450.909
    1.8954e-10      429.333
    2.0907e-10      408.789
   2.30612e-10      389.228
   2.54374e-10      370.603
   2.80584e-10       352.87
   3.09494e-10      335.985
   3.41383e-10      319.908
   3.76558e-10        304.6
   4.15358e-10      290.025
   4.58155e-10      276.147
   5.05362e-10      262.933
   5.57433e-10      250.352
   6.14869e-10      238.372
   6.78223e-10      226.966
   7.48105e-10      216.106
   8.25188e-10      205.765
   9.10213e-10      195.919
      1.004e-9      186.545
    1.10745e-9      177.619
    1.22155e-9       169.12
    1.34742e-9      161.027
    1.48625e-9      153.322
    1.63939e-9      145.986
    1.80831e-9      139.001
    1.99463e-9       132.35
    2.20016e-9      126.017
    2.42685e-9      119.987
    2.67691e-9      114.246
    2.95273e-9       108.78
    3.25697e-9      103.575
    3.59256e-9       98.619
    3.96272e-9      93.9004
    4.37103e-9      89.4076
    4.82141e-9      85.1298
    5.31819e-9      81.0567
    5.86616e-9      77.1786
    6.47059e-9      73.4861
     7.1373e-9      69.9703
    7.87271e-9      66.6227
    8.68389e-9      63.4355
    9.57865e-9      60.4009
    1.05656e-8      57.5117
    1.16543e-8      54.7612
    1.28551e-8      52.1429
    1.41796e-8      49.6504
    1.56406e-8      47.2778
    1.72522e-8      45.0188
    1.90298e-8      42.8676
    2.09906e-8      40.8187
    2.31534e-8      38.8674
    2.52419e-8      37.2264
       2.53e-8      37.1837
    2.79068e-8      35.4066
    3.07823e-8      33.7142
     3.3954e-8      32.1019
    3.74525e-8      30.5661
    4.13115e-8      29.1036
    4.55681e-8      27.7122
    5.02633e-8       26.389
    5.54423e-8      25.1298
    6.11549e-8      23.9296
    6.74561e-8      22.7853
    7.44066e-8      21.6953
    8.20732e-8      20.6578
    9.05297e-8       19.671
    9.98577e-8      18.7335
    1.10147e-7      17.8417
    1.21496e-7      16.9902
    1.34014e-7      16.1783
    1.47823e-7      15.4055
    1.63054e-7        14.67
    1.79855e-7        13.97
    1.98386e-7       13.304
    2.18827e-7      12.6715
    2.43077e-7      12.0285
    2.68123e-7      11.4557
     2.9575e-7      10.9102
    3.26223e-7      10.3912
    3.59836e-7       9.8974
    3.96913e-7       9.4277
    4.37809e-7      8.98357
    4.86303e-7      8.52881
     5.3641e-7      8.12473
     5.9168e-7      7.74038
    6.52645e-7      7.37481
    7.19891e-7      7.02713
    7.94067e-7      6.69666
    8.82063e-7      6.36328
    9.72949e-7      6.06453
     1.0732e-6      5.78049
    1.19207e-6      5.49192
     1.3149e-6      5.23655
    1.45038e-6      4.99368
    1.59982e-6      4.76331
    1.81481e-6      4.48469
    2.01592e-6      4.26524
    2.22363e-6      4.07126
    2.45275e-6      3.88685
    2.72443e-6      3.69963
    3.00514e-6       3.5345
    3.29172e-6      3.39003
    3.65633e-6      3.23072
    4.03306e-6      3.09025
    4.41767e-6       2.9666
    4.83872e-6      2.84927
    5.33729e-6      2.72918
    5.92876e-6      2.60888
    6.53964e-6      2.50372
    7.26399e-6      2.39741
    8.06897e-6      2.29845
    8.83803e-6      2.21807
    9.68086e-6      2.14271
    1.07531e-5      2.06148
    1.19448e-5      1.98763
    1.31755e-5      1.92504
    1.46349e-5       1.8636
    1.61429e-5      1.81244
    1.79318e-5      1.76383
