#ZVView-data-copy:  29-Jan-2019 22:29:23
#=======================================
#
#name:   ENDF/B-VIII.0: CR-50(N,G)CR-51
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  55506
#data...
#            X            Y
#          MeV        barns
         1e-11      774.608
   1.10304e-11      737.542
   1.21669e-11       702.25
   1.34206e-11      668.647
   1.48034e-11      636.651
   1.63287e-11      606.187
   1.80111e-11       577.18
   1.98669e-11      549.562
   2.19139e-11      523.265
   2.41719e-11      498.226
   2.66625e-11      474.386
   2.94097e-11      451.686
     3.244e-11      430.072
   3.57825e-11      409.493
   3.94694e-11      389.898
   4.35362e-11      371.241
   4.80221e-11      353.477
   5.29701e-11      336.563
    5.8428e-11      320.458
   6.44483e-11      305.124
   7.10888e-11      290.523
   7.84136e-11      276.622
   8.64931e-11      263.385
   9.54051e-11      250.782
   1.05235e-10      238.782
   1.16078e-10      227.356
   1.28039e-10      216.477
   1.41231e-10      206.118
   1.55784e-10      196.255
   1.71835e-10      186.864
    1.8954e-10      177.922
    2.0907e-10      169.409
   2.30612e-10      161.302
   2.54374e-10      153.584
   2.80584e-10      146.235
   3.09494e-10      139.237
   3.41383e-10      132.575
   3.76558e-10      126.231
   4.15358e-10      120.191
   4.58155e-10      114.439
   5.05362e-10      108.963
   5.57433e-10      103.749
   6.14869e-10      98.7848
   6.78223e-10      94.0578
   7.48105e-10      89.5571
   8.25188e-10      85.2717
   9.10213e-10      81.1914
      1.004e-9      77.3063
    1.10745e-9      73.6071
    1.22155e-9      70.0849
    1.34742e-9      66.7313
    1.48625e-9      63.5381
    1.63939e-9      60.4977
    1.80831e-9      57.6029
    1.99463e-9      54.8465
    2.20016e-9       52.222
    2.42685e-9      49.7231
    2.67691e-9      47.3438
    2.95273e-9      45.0784
    3.25697e-9      42.9213
    3.59256e-9      40.8675
    3.96272e-9      38.9119
    4.37103e-9      37.0499
    4.82141e-9       35.277
    5.31819e-9       33.589
    5.86616e-9      31.9817
    6.47059e-9      30.4513
     7.1373e-9      28.9942
    7.87271e-9      27.6067
    8.68389e-9      26.2857
    9.57865e-9      25.0279
    1.05656e-8      23.8303
    1.16543e-8        22.69
    1.28551e-8      21.6044
    1.41796e-8      20.5709
    1.56406e-8       19.587
    1.72522e-8      18.6504
    1.90298e-8       17.759
    2.09906e-8      16.9103
    2.31534e-8      16.1023
    2.52419e-8      15.4226
       2.53e-8      15.4049
    2.79068e-8      14.6682
    3.07823e-8      13.9662
     3.3954e-8      13.2975
    3.74525e-8      12.6606
    4.13115e-8      12.0544
    4.55681e-8      11.4777
    5.02633e-8       10.929
    5.54423e-8      10.4065
    6.11549e-8       9.9085
    6.74561e-8      9.43386
    7.44066e-8      8.98184
    8.20732e-8      8.55168
    9.05297e-8      8.14271
    9.98577e-8       7.7539
    1.10147e-7      7.38324
    1.21496e-7      7.02952
    1.34014e-7      6.69252
    1.47823e-7      6.37174
    1.63054e-7      6.06643
    1.79855e-7       5.7763
    1.98386e-7      5.50088
    2.20371e-7      5.21931
    2.43077e-7      4.96896
    2.68123e-7      4.73065
     2.9575e-7      4.50382
    3.26223e-7       4.2879
    3.59836e-7      4.08239
    3.96913e-7      3.88753
    4.40876e-7      3.68898
    4.86303e-7      3.51192
     5.3641e-7      3.34339
     5.9168e-7      3.18296
    6.52645e-7      3.03024
    7.19891e-7      2.88488
    7.94067e-7      2.74761
    8.75885e-7      2.61576
    9.66133e-7      2.49008
    1.06568e-6      2.37043
    1.17549e-6      2.25649
     1.2966e-6      2.14807
     1.4302e-6      2.04483
    1.57757e-6      1.94654
    1.72801e-6      1.86021
    1.90606e-6      1.77071
    2.08772e-6      1.69141
    2.30284e-6      1.60984
    2.54012e-6      1.53222
    2.80184e-6      1.45836
    3.09053e-6      1.38802
    3.38526e-6      1.32602
    3.76022e-6      1.25766
    4.11881e-6      1.20108
    4.51138e-6        1.147
    4.97622e-6      1.09124
    5.48895e-6      1.03841
    6.05452e-6     0.987901
    6.67836e-6     0.939958
    7.41844e-6     0.891117
    8.18281e-6     0.847744
    8.90038e-6     0.812101
    9.68086e-6     0.777875
    1.06784e-5     0.739555
    1.17786e-5     0.703248
    1.29922e-5     0.668599
    1.46349e-5     0.628693
    1.62567e-5     0.595478
    1.76823e-5     0.569996
    1.92329e-5     0.545525
     2.1066e-5     0.519987
    2.32366e-5     0.493914
    2.56308e-5     0.468941
    2.76845e-5     0.450453
    2.96932e-5     0.433789
    3.25233e-5     0.413193
    3.53753e-5     0.394951
    3.82098e-5     0.378848
    4.12694e-5     0.363335
    4.45761e-5     0.348428
    4.88247e-5     0.331409
    5.34808e-5     0.315189
    5.89913e-5     0.298521
    6.46138e-5      0.28375
    7.02799e-5     0.270678
    7.59111e-5      0.25915
    8.19895e-5     0.248066
     8.8559e-5     0.237369
    9.69996e-5     0.225281
    0.00010625     0.213713
   0.000116377     0.202736
   0.000129273     0.190784
   0.000139624     0.182379
   0.000151868     0.173654
   0.000162888     0.166674
   0.000174707     0.159977
   0.000188706     0.152904
   0.000205253     0.145601
   0.000223252     0.138641
   0.000239452     0.133249
   0.000258625     0.127474
   0.000279347     0.122021
   0.000301716     0.116885
   0.000323608     0.112464
   0.000347089     0.108284
   0.000372274     0.104332
   0.000404919    0.0998666
   0.000440427    0.0957611
   0.000474277    0.0924298
   0.000515867     0.088891
   0.000561104    0.0856713
   0.000606033    0.0829802
   0.000650007    0.0807461
   0.000697171    0.0787175
   0.000758307    0.0765331
   0.000830622    0.0745275
    0.00092774    0.0725476
    0.00102909    0.0711863
    0.00112603     0.070411
    0.00121619    0.0700575
    0.00127221    0.0699687
    0.00138587    0.0702031
    0.00149684    0.0707954
    0.00163419    0.0720073
    0.00175677    0.0735185
    0.00189703     0.075731
    0.00203444    0.0783809
    0.00216541    0.0814386
    0.00228995    0.0847706
    0.00240827    0.0884531
    0.00251187    0.0920616
     0.0026292    0.0966226
    0.00274206     0.101643
    0.00283831     0.106393
    0.00293955     0.111927
    0.00304426     0.118288
    0.00315285     0.125739
    0.00324244      0.13259
     0.0033289     0.139835
    0.00341371     0.147712
    0.00349852     0.156406
    0.00358334     0.166024
    0.00366815     0.176685
    0.00375296     0.188532
    0.00383777     0.201729
    0.00392259     0.216464
    0.00398619     0.228605
     0.0040498     0.241944
    0.00411341      0.25638
    0.00417702     0.272284
    0.00424063     0.289534
    0.00430424     0.308582
    0.00436785     0.329276
    0.00443146     0.352157
    0.00449507     0.377029
    0.00455868      0.40452
    0.00462229     0.434363
    0.00468589     0.467241
     0.0047495     0.502776
    0.00481311     0.541611
    0.00487672     0.583188
    0.00496153     0.643245
    0.00503924     0.702285
    0.00521006     0.835182
    0.00527367     0.882551
    0.00532198     0.915201
    0.00536439     0.940849
     0.0054068     0.962956
    0.00545259     0.984134
    0.00545368     0.987985
    0.00545423     0.992972
    0.00545478      1.00254
    0.00545519      1.01473
    0.00545561      1.03347
    0.00545588      1.05088
    0.00545619      1.07622
    0.00545649      1.10915
    0.00545672      1.13973
    0.00545695      1.17604
    0.00545718      1.21867
    0.00545741      1.26816
    0.00545764      1.32495
    0.00545787      1.38933
     0.0054581      1.46144
    0.00545833      1.54119
    0.00545863      1.65881
    0.00545894      1.78784
     0.0054594      1.99706
    0.00546016      2.35472
     0.0054605      2.50033
    0.00546076      2.59764
    0.00546101      2.68142
    0.00546126      2.74701
    0.00546149      2.79265
    0.00546171      2.82167
    0.00546198      2.83499
      0.005462      2.83509
    0.00546225      2.82519
    0.00546245      2.80271
    0.00546268      2.76017
    0.00546289      2.70987
