#ZVView-data-copy:  29-Jan-2019 22:16:28
#=======================================
#
#name:   ENDF/B-VIII.0: FE-58(N,G)FE-59
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  39138
#data...
#            X            Y
#          MeV        barns
         1e-11      66.1102
   1.10304e-11      62.9467
   1.21669e-11      59.9347
   1.34206e-11      57.0668
   1.48034e-11      54.3361
   1.63287e-11       51.736
   1.80111e-11      49.2604
   1.98669e-11      46.9033
   2.19139e-11      44.6589
   2.41719e-11      42.5219
   2.66625e-11      40.4872
   2.94097e-11      38.5499
     3.244e-11      36.7052
   3.57825e-11      34.9488
   3.94694e-11      33.2765
   4.35362e-11      31.6842
   4.80221e-11      30.1681
   5.29701e-11      28.7245
    5.8428e-11        27.35
   6.44483e-11      26.0413
   7.10888e-11      24.7952
   7.84136e-11      23.6087
   8.64931e-11       22.479
   9.54051e-11      21.4034
   1.05235e-10      20.3792
   1.16078e-10      19.4041
   1.28039e-10      18.4756
   1.41231e-10      17.5915
   1.55784e-10      16.7497
   1.71835e-10      15.9482
    1.8954e-10      15.1851
    2.0907e-10      14.4585
   2.30612e-10      13.7666
   2.54374e-10      13.1079
   2.80584e-10      12.4806
   3.09494e-10      11.8834
   3.41383e-10      11.3148
   3.76558e-10      10.7734
   4.15358e-10      10.2579
   4.58155e-10      9.76702
   5.05362e-10      9.29966
   5.57433e-10      8.85466
   6.14869e-10      8.43096
   6.78223e-10      8.02753
   7.48105e-10       7.6434
   8.25188e-10      7.27766
   9.10213e-10      6.92942
      1.004e-9      6.59784
    1.10745e-9      6.28212
    1.22155e-9      5.98152
    1.34742e-9       5.6953
    1.48625e-9      5.42277
    1.63939e-9      5.16329
    1.80831e-9      4.91622
    1.99463e-9      4.68097
    2.20016e-9      4.45698
    2.42685e-9      4.24371
    2.67691e-9      4.04065
    2.95273e-9       3.8473
    3.25697e-9       3.6632
    3.59256e-9      3.48791
    3.96272e-9      3.32101
    4.37103e-9       3.1621
    4.82141e-9      3.01079
    5.31819e-9      2.86672
    5.86616e-9      2.72954
    6.47059e-9      2.59893
     7.1373e-9      2.47457
    7.87271e-9      2.35616
    8.68389e-9      2.24342
    9.57865e-9      2.13608
    1.05656e-8      2.03388
    1.16543e-8      1.93658
    1.28551e-8      1.84396
    1.41796e-8      1.75579
    1.56406e-8      1.67186
    1.72522e-8      1.59196
    1.90298e-8      1.51587
    2.09906e-8      1.44341
    2.31534e-8       1.3744
    2.52419e-8      1.31634
       2.53e-8      1.31483
    2.79068e-8      1.25192
    3.07823e-8        1.192
     3.3954e-8      1.13491
    3.74525e-8      1.08055
    4.13115e-8      1.02882
    4.55681e-8     0.979611
    5.02633e-8     0.932793
    5.54423e-8     0.888203
    6.11549e-8     0.845694
    6.74561e-8     0.805182
    7.44066e-8     0.766608
    8.20732e-8     0.729904
    9.05297e-8     0.695018
    9.98577e-8     0.661844
    1.10147e-7     0.630194
    1.21496e-7     0.599997
    1.34014e-7      0.57124
    1.47823e-7     0.543869
    1.63054e-7      0.51782
    1.79855e-7     0.493086
    1.98386e-7     0.469585
    2.18827e-7     0.447099
    2.41375e-7     0.425662
    2.66245e-7     0.405257
    2.93678e-7     0.385836
    3.23938e-7      0.36735
    3.57316e-7     0.349758
    3.94132e-7     0.333101
    4.37809e-7     0.316061
     4.8292e-7     0.300904
    5.32679e-7     0.286478
    5.87564e-7     0.272746
    6.48105e-7     0.259674
    7.14884e-7     0.247238
    7.88543e-7     0.235507
    8.69792e-7     0.224205
    9.59413e-7     0.213445
    1.05827e-6     0.203203
    1.16731e-6     0.193458
    1.28758e-6     0.184183
    1.42025e-6     0.175352
    1.56659e-6     0.166946
    1.72801e-6     0.159021
    1.89271e-6     0.151916
    2.08772e-6     0.144611
    2.31908e-6     0.137188
    2.55803e-6     0.130604
    2.82161e-6     0.124336
    3.11233e-6     0.118366
    3.43302e-6     0.112749
    3.73407e-6     0.108084
    4.06151e-6      0.10361
    4.44862e-6    0.0989668
    4.94161e-6    0.0938762
    5.45077e-6    0.0893566
     6.0124e-6    0.0850632
    6.58545e-6    0.0812836
    7.26399e-6    0.0773715
    7.95672e-6    0.0739048
    8.65446e-6    0.0708402
    9.41338e-6    0.0678982
    1.03833e-5    0.0646085
    1.14532e-5    0.0614917
    1.26333e-5    0.0585216
    1.43309e-5    0.0549132
    1.58075e-5    0.0522617
    1.71937e-5    0.0500819
    1.87015e-5    0.0479898
    2.04839e-5    0.0458078
    2.25945e-5    0.0435847
    2.49226e-5    0.0414568
    2.71081e-5    0.0397404
    2.90751e-5    0.0383324
    3.16247e-5    0.0367133
    3.43979e-5    0.0351627
    3.71541e-5    0.0337949
    4.04122e-5    0.0323584
    4.45761e-5    0.0307578
    4.88247e-5    0.0293344
    5.27368e-5    0.0281992
    5.73614e-5    0.0269829
    6.28285e-5      0.02573
     6.8338e-5    0.0246208
    7.38137e-5    0.0236422
    7.97241e-5    0.0227002
    8.55089e-5    0.0218811
    9.17134e-5    0.0210784
     9.9062e-5    0.0202308
   0.000106994    0.0194179
   0.000115567    0.0186366
   0.000125701    0.0178174
   0.000137682    0.0169835
   0.000149756    0.0162551
   0.000161755    0.0156386
   0.000173492    0.0151435
   0.000183492    0.0148228
   0.000191368    0.0146756
   0.000194912    0.0146576
   0.000199056    0.0146991
   0.000201864    0.0147857
   0.000204712    0.0149402
   0.000206873    0.0151233
   0.000209055    0.0154006
   0.000210529    0.0156571
   0.000212004    0.0159915
     0.0002135    0.0164444
   0.000214621    0.0168835
   0.000215753    0.0174475
   0.000216512    0.0179132
    0.00021727    0.0184692
   0.000218028    0.0191381
   0.000218605    0.0197426
   0.000219182    0.0204508
   0.000219758    0.0212869
   0.000220335     0.022282
    0.00022072    0.0230535
   0.000221104    0.0239292
   0.000221528    0.0250384
   0.000221952    0.0263318
    0.00022227    0.0274484
   0.000222588    0.0287152
   0.000222892    0.0300938
   0.000223169    0.0315155
   0.000223446    0.0331253
   0.000223723    0.0349576
      0.000224    0.0370556
   0.000224185    0.0386279
   0.000224369    0.0403613
   0.000224554    0.0422788
   0.000224739    0.0444074
   0.000224923    0.0467795
   0.000225108    0.0494338
   0.000225293    0.0524172
   0.000225477    0.0557867
   0.000225616    0.0586087
   0.000225754    0.0617224
   0.000225874    0.0646892
   0.000225994    0.0679388
   0.000226114    0.0715091
   0.000226234    0.0754444
   0.000226354    0.0797976
   0.000226474    0.0846317
   0.000226594     0.090022
   0.000226714    0.0960595
   0.000226807     0.101213
   0.000226899     0.106875
   0.000226991     0.113117
   0.000227084     0.120023
   0.000227176     0.127695
   0.000227268     0.136256
   0.000227361     0.145855
    0.00022743     0.153847
   0.000227518      0.16511
   0.000227582     0.174352
   0.000227647     0.184528
   0.000227711     0.195782
   0.000227776     0.208298
   0.000227841     0.222309
   0.000227889     0.233976
   0.000227938     0.246812
    0.00022797     0.256118
   0.000228021     0.272148
   0.000228071     0.290207
    0.00022811     0.305346
   0.000228148     0.322109
   0.000228186     0.340782
   0.000228224     0.361713
   0.000228262     0.385329
     0.0002283     0.412145
   0.000228325     0.432104
   0.000228351      0.45398
   0.000228376     0.478017
   0.000228407     0.510886
   0.000228438      0.54802
   0.000228459     0.575478
    0.00022848     0.605361
   0.000228501     0.637913
   0.000228522     0.673408
   0.000228542     0.712139
   0.000228563     0.754432
   0.000228584     0.800632
   0.000228605      0.85112
   0.000228625       0.9063
   0.000228646     0.966619
   0.000228667      1.03254
   0.000228688      1.10458
   0.000228708      1.18326
   0.000228733      1.28424
   0.000228757      1.39601
   0.000228781      1.51961
   0.000228805      1.65614
    0.00022883      1.80673
   0.000228854       1.9726
   0.000228878      2.15498
   0.000228902      2.35517
   0.000228927      2.57449
   0.000228951      2.81426
   0.000228974       3.0603
   0.000228994      3.29342
   0.000229014      3.54314
   0.000229034      3.81019
   0.000229054       4.0953
   0.000229074      4.39912
   0.000229101      4.83449
   0.000229128      5.30567
   0.000229154      5.81387
   0.000229181      6.36001
   0.000229212      7.02858
   0.000229242      7.74765
   0.000229273      8.51717
   0.000229303      9.33632
   0.000229333      10.2036
   0.000229377      11.5172
   0.000229427      13.1281
   0.000229477      14.8277
    0.00022958      18.5119
   0.000229661      21.3842
   0.000229711      23.0618
   0.000229754      24.3913
   0.000229799      25.6367
   0.000229843      26.7208
   0.000229887      27.6167
   0.000229932       28.302
   0.000229976      28.7589
   0.000230017      28.9686
   0.000230037      28.9933
   0.000230068      28.9323
   0.000230103      28.7219
   0.000230138      28.3554
   0.000230177      27.7927
   0.000230221      26.9438
   0.000230258      26.0877
   0.000230298      25.0296
   0.000230349      23.5079
   0.000230409       21.538
    0.00023049      18.6647
   0.000230588      15.1773
   0.000230638      13.4671
   0.000230688      11.8406
   0.000230725      10.7027
   0.000230762      9.62955
   0.000230799      8.62568
   0.000230826      7.92016
    0.00023086      7.10705
   0.000230885      6.55362
    0.00023091      6.03363
   0.000230935      5.54666
    0.00023096      5.09197
   0.000230985      4.66875
    0.00023101      4.27594
   0.000231035      3.91241
