#ZVView-data-copy:  29-Jan-2019 22:28:51
#=======================================
#
#name:   ENDF/B-VIII.0: MO-100(N,G)MO-101
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  30448
#data...
#            X            Y
#          MeV        barns
         1e-11      10.0119
   1.10304e-11      9.53283
   1.21669e-11      9.07667
   1.34206e-11      8.64235
   1.48034e-11       8.2288
   1.63287e-11      7.83505
   1.80111e-11      7.46013
   1.98669e-11      7.10316
   2.19139e-11      6.76327
   2.41719e-11      6.43964
   2.66625e-11       6.1315
   2.94097e-11       5.8381
     3.244e-11      5.55874
   3.57825e-11      5.29275
   3.94694e-11      5.03949
   4.35362e-11      4.79834
   4.80221e-11      4.56874
   5.29701e-11      4.35012
    5.8428e-11      4.14196
   6.44483e-11      3.94377
   7.10888e-11      3.75505
   7.84136e-11      3.57537
   8.64931e-11      3.40429
   9.54051e-11      3.24139
   1.05235e-10      3.08628
   1.16078e-10       2.9386
   1.28039e-10      2.79799
   1.41231e-10       2.6641
   1.55784e-10      2.53662
   1.71835e-10      2.41524
    1.8954e-10      2.29967
    2.0907e-10      2.18963
   2.30612e-10      2.08485
   2.54374e-10      1.98509
   2.80584e-10       1.8901
   3.09494e-10      1.79966
   3.41383e-10      1.71354
   3.76558e-10      1.63155
   4.15358e-10      1.55348
   4.58155e-10      1.47914
   5.05362e-10      1.40836
   5.57433e-10      1.34097
   6.14869e-10       1.2768
   6.78223e-10      1.21571
   7.48105e-10      1.15753
   8.25188e-10      1.10215
   9.10213e-10      1.04941
      1.004e-9     0.999191
    1.10745e-9     0.951378
    1.22155e-9     0.905853
    1.34742e-9     0.862507
    1.48625e-9     0.821235
    1.63939e-9     0.781937
    1.80831e-9      0.74452
    1.99463e-9     0.708894
    2.20016e-9     0.674972
    2.42685e-9     0.642673
    2.67691e-9      0.61192
    2.95273e-9     0.582638
    3.25697e-9     0.554758
    3.59256e-9     0.528211
    3.96272e-9     0.502935
    4.37103e-9     0.478868
    4.82141e-9     0.455953
    5.31819e-9     0.434135
    5.86616e-9     0.413362
    6.47059e-9     0.393584
     7.1373e-9     0.374754
    7.87271e-9     0.356828
    8.68389e-9     0.339762
    9.57865e-9     0.323516
    1.05656e-8     0.308047
    1.16543e-8     0.293318
    1.28551e-8     0.279293
    1.41796e-8     0.265938
    1.56406e-8     0.253223
    1.72522e-8     0.241113
    1.90298e-8     0.229575
    2.09906e-8     0.218583
    2.31534e-8     0.208117
    2.52419e-8     0.199316
       2.53e-8     0.199087
    2.79068e-8     0.189555
    3.07823e-8     0.180477
     3.3954e-8     0.171833
    3.74525e-8      0.16361
    4.13115e-8     0.155791
    4.55681e-8     0.148345
    5.02633e-8     0.141242
    5.54423e-8     0.134472
    6.11549e-8     0.128026
    6.74561e-8      0.12189
    7.44066e-8     0.116052
    8.20732e-8     0.110507
    9.05297e-8     0.105229
    9.98577e-8     0.100186
    1.10147e-7    0.0953798
    1.21496e-7    0.0908051
    1.34014e-7    0.0864504
    1.47823e-7    0.0823089
    1.63054e-7    0.0783843
    1.81123e-7    0.0743674
    1.99786e-7    0.0707961
    2.20371e-7    0.0673966
    2.43077e-7    0.0641607
    2.68123e-7    0.0610801
     2.9575e-7    0.0581475
    3.26223e-7     0.055369
    3.62357e-7    0.0525323
    3.99693e-7    0.0500056
    4.40876e-7    0.0476001
    4.86303e-7    0.0453096
     5.3641e-7    0.0431292
     5.9168e-7    0.0410533
    6.52645e-7    0.0390978
    7.14884e-7    0.0373413
    7.88543e-7    0.0355389
    8.69792e-7    0.0338217
    9.59413e-7    0.0321869
    1.05827e-6    0.0306321
    1.16731e-6    0.0291498
    1.28758e-6    0.0277386
     1.4103e-6    0.0265032
    1.53398e-6    0.0253944
    1.68026e-6    0.0242461
    1.84041e-6    0.0231478
    2.03004e-6    0.0220181
    2.23921e-6    0.0209451
    2.46993e-6    0.0199216
    2.70547e-6    0.0190172
    3.00514e-6    0.0180225
    3.29172e-6    0.0171985
    3.60546e-6    0.0164109
    3.94929e-6    0.0156542
    4.35622e-6     0.014879
    4.80507e-6    0.0141384
    5.30017e-6    0.0134345
    5.92876e-6    0.0126717
    6.53964e-6    0.0120374
    7.11311e-6    0.0115158
    7.73687e-6    0.0110148
    8.47428e-6    0.0104922
    9.28242e-6   0.00999627
    1.01671e-5   0.00951907
    1.09818e-5   0.00913883
    1.19448e-5   0.00873148
    1.29922e-5   0.00834215
    1.41316e-5   0.00796982
    1.52631e-5   0.00764191
    1.64861e-5   0.00732639
    1.79318e-5   0.00699431
    1.96409e-5   0.00665388
    2.13632e-5   0.00635462
    2.34005e-5   0.00604368
    2.54525e-5   0.00577071
    2.76845e-5    0.0055114
    2.99012e-5   0.00528486
    3.20709e-5   0.00508815
    3.48832e-5   0.00486293
    3.79422e-5   0.00465343
