#ZVView-data-copy:  11-Apr-2019 20:31:04
#=======================================
#
#name:   ENDF/B-VIII.0: NI-58(N,P)CO-58
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  65
#data...
#            X            Y
#          MeV        barns
         0.812            0
         0.812   0.00016353
           0.9  0.000349253
             1  0.000798219
           1.1   0.00165835
           1.2   0.00316794
           1.3   0.00562543
           1.4   0.00937795
           1.5    0.0117527
           1.6    0.0138531
           1.7     0.017642
           1.8    0.0229112
           1.9    0.0296662
             2    0.0379948
           2.1    0.0452749
           2.2      0.05632
           2.3    0.0692238
           2.4    0.0841677
           2.5      0.10137
           2.6     0.114723
           2.7      0.13365
           2.8      0.15538
           2.9     0.168151
             3     0.185646
           3.1     0.203689
           3.2     0.223303
           3.3     0.249169
           3.4     0.256159
           3.5     0.276796
           3.6     0.295593
           3.8     0.326324
             4     0.362979
           4.5     0.446319
             5     0.510352
           5.5     0.560861
             6     0.593868
           6.5     0.613072
             7      0.62329
           7.5     0.629521
             8     0.630416
           8.5     0.634753
           9.5     0.637924
            10      0.63011
          10.5     0.619413
            11     0.607276
          11.5     0.592175
            12     0.566464
          12.5     0.526442
            13     0.473512
          13.5     0.415743
            14     0.354449
          14.5     0.298358
            15     0.249942
          15.5      0.21095
            16     0.179146
          16.5      0.15441
            17     0.135407
          17.5     0.120914
            18     0.109532
          18.5     0.101077
            19    0.0947322
          19.5    0.0898739
            20    0.0854883
            20            0
           150            0
//
#-------------------------------------------------------------------------------
