#ZVView-data-copy:  29-Jan-2019 22:26:12
#=======================================
#
#name:   ENDF/B-VIII.0: NI-64(N,G)NI-65
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9562
#data...
#            X            Y
#          MeV        barns
         1e-11       74.441
   1.10304e-11       70.879
   1.21669e-11      67.4874
   1.34206e-11       64.258
   1.48034e-11      61.1832
   1.63287e-11      58.2556
   1.80111e-11       55.468
   1.98669e-11      52.8138
   2.19139e-11      50.2866
   2.41719e-11      47.8803
   2.66625e-11      45.5892
   2.94097e-11      43.4077
     3.244e-11      41.3306
   3.57825e-11      39.3529
   3.94694e-11      37.4699
   4.35362e-11      35.6769
   4.80221e-11      33.9697
   5.29701e-11      32.3442
    5.8428e-11      30.7965
   6.44483e-11      29.3229
   7.10888e-11      27.9198
   7.84136e-11      26.5838
   8.64931e-11      25.3117
   9.54051e-11      24.1005
   1.05235e-10      22.9473
   1.16078e-10      21.8493
   1.28039e-10      20.8038
   1.41231e-10      19.8083
   1.55784e-10      18.8604
   1.71835e-10      17.9579
    1.8954e-10      17.0986
    2.0907e-10      16.2805
   2.30612e-10      15.5014
   2.54374e-10      14.7597
   2.80584e-10      14.0534
   3.09494e-10      13.3809
   3.41383e-10      12.7406
   3.76558e-10       12.131
   4.15358e-10      11.5505
   4.58155e-10      10.9978
   5.05362e-10      10.4716
   5.57433e-10      9.97048
   6.14869e-10      9.49339
   6.78223e-10      9.03912
   7.48105e-10      8.60659
   8.25188e-10      8.19476
   9.10213e-10      7.80263
      1.004e-9      7.42927
    1.10745e-9      7.07377
    1.22155e-9      6.73529
    1.34742e-9        6.413
    1.48625e-9      6.10613
    1.63939e-9      5.81395
    1.80831e-9      5.53574
    1.99463e-9      5.27085
    2.20016e-9      5.01864
    2.42685e-9      4.77849
    2.67691e-9      4.54984
    2.95273e-9      4.33212
    3.25697e-9      4.12483
    3.59256e-9      3.92745
    3.96272e-9      3.73952
    4.37103e-9      3.56058
    4.82141e-9       3.3902
    5.31819e-9      3.22798
    5.86616e-9      3.07352
    6.47059e-9      2.92645
     7.1373e-9      2.78642
    7.87271e-9      2.65309
    8.68389e-9      2.52615
    9.57865e-9      2.40529
    1.05656e-8      2.29024
    1.16543e-8      2.18071
    1.28551e-8      2.07646
    1.41796e-8      1.97721
    1.56406e-8      1.88272
    1.72522e-8      1.79273
    1.90298e-8        1.707
    2.09906e-8      1.62531
    2.31534e-8      1.54751
    2.52419e-8      1.48209
       2.53e-8      1.48038
    2.79068e-8      1.40956
    3.07823e-8      1.34217
     3.3954e-8      1.27799
    3.74525e-8      1.21685
    4.13115e-8      1.15858
    4.55681e-8      1.10309
    5.02633e-8      1.05026
    5.54423e-8      1.00001
    6.11549e-8     0.952234
    6.74561e-8      0.90674
    7.44066e-8     0.863352
    8.20732e-8     0.821993
    9.05297e-8     0.782611
    9.98577e-8     0.745125
    1.10147e-7      0.70946
    1.21496e-7      0.67558
    1.34014e-7     0.643338
    1.47823e-7     0.612541
    1.63054e-7     0.583188
    1.79855e-7     0.555247
    1.98386e-7     0.528651
    2.18827e-7     0.503336
    2.41375e-7     0.479297
    2.68123e-7     0.454855
     2.9575e-7     0.433063
    3.26223e-7      0.41231
    3.59836e-7     0.392557
    3.96913e-7     0.373754
    4.37809e-7     0.355861
     4.8292e-7     0.338943
     5.3641e-7     0.321602
     5.9168e-7     0.306187
    6.52645e-7     0.291514
    7.19891e-7     0.277548
    7.94067e-7     0.264256
    8.75885e-7     0.251606
    9.66133e-7     0.239693
    1.05827e-6     0.228993
    1.15913e-6     0.218783
    1.27857e-6     0.208295
     1.4103e-6      0.19831
    1.55562e-6      0.18882
     1.7159e-6     0.179776
    1.89271e-6     0.171171
     2.0732e-6     0.163632
     2.2708e-6     0.156337
    2.48735e-6     0.149371
    2.72443e-6     0.142714
    3.00514e-6     0.135868
    3.31478e-6     0.129375
    3.65633e-6     0.123182
    4.00501e-6     0.117714
    4.44862e-6     0.111709
    4.90699e-6     0.106377
    5.33729e-6        0.102
    5.84628e-6    0.0974512
    6.49383e-6    0.0924675
    7.16294e-6    0.0880371
    7.90099e-6    0.0838333
    8.83803e-6    0.0792874
    9.74868e-6    0.0755105
    1.06036e-5    0.0724084
    1.15334e-5    0.0694326
    1.27218e-5    0.0661002
    1.40326e-5    0.0629527
    1.54784e-5    0.0599496
    1.74363e-5    0.0564926
    1.93676e-5    0.0536263
     2.1066e-5    0.0514295
    2.29133e-5    0.0493233
    2.50984e-5    0.0471275
    2.76845e-5    0.0448899
     3.0537e-5     0.042751
    3.32148e-5    0.0410301
    3.56249e-5    0.0396162
    3.87489e-5    0.0379952
    4.21468e-5    0.0364453
    4.58428e-5    0.0349597
    5.02121e-5    0.0334116
    5.53858e-5    0.0318349
    6.10925e-5    0.0303279
    6.59876e-5    0.0292153
    7.12714e-5      0.02812
    7.75213e-5    0.0269787
    8.55089e-5    0.0257001
    9.49848e-5    0.0244108
   0.000104772    0.0232745
   0.000115567    0.0221847
   0.000126582    0.0212203
   0.000141594     0.020105
   0.000155097    0.0192393
   0.000168698    0.0184755
   0.000182206    0.0178039
   0.000198184    0.0171004
   0.000220147    0.0162642
   0.000242666    0.0155282
   0.000262097    0.0149835
   0.000283098    0.0144463
    0.00031008    0.0138459
   0.000337271     0.013317
   0.000364295    0.0128526
   0.000396241    0.0123676
    0.00044013     0.011793
   0.000472066    0.0114355
    0.00051341    0.0110124
   0.000564748    0.0105618
   0.000618605     0.010155
   0.000676841   0.00977486
   0.000736195   0.00943739
   0.000810013   0.00907196
   0.000899777   0.00870087
    0.00102679   0.00827072
    0.00113744    0.0079642
    0.00124585   0.00771069
    0.00135366   0.00749552
    0.00148275   0.00727679
    0.00165444   0.00703828
    0.00182491   0.00684776
    0.00204343    0.0066586
    0.00225954   0.00651617
     0.0024749   0.00640976
    0.00270051   0.00632971
    0.00299963   0.00626253
    0.00331414   0.00623878
     0.0033975   0.00623678
    0.00374757   0.00626384
    0.00410338   0.00633214
    0.00447823   0.00644648
    0.00487094   0.00661273
    0.00524801   0.00681844
    0.00560929    0.0070602
    0.00596904   0.00735117
     0.0062895   0.00765535
    0.00660694   0.00800559
     0.0068657   0.00833625
    0.00707732   0.00863345
    0.00734276    0.0090594
    0.00757976   0.00949486
    0.00782584    0.0100177
