#ZVView-data-copy:  29-Jan-2019 22:43:55
#=======================================
#
#name:   ENDF/B-VIII.0: P-31(N,G)P-32
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  351
#data...
#            X            Y
#          MeV        barns
         1e-11      8.42741
   1.10304e-11      8.02417
   1.21669e-11      7.64023
   1.34206e-11      7.27466
   1.48034e-11      6.92659
   1.63287e-11      6.59518
   1.80111e-11      6.27962
   1.98669e-11      5.97917
   2.19139e-11      5.69309
   2.41719e-11       5.4207
   2.66625e-11      5.16135
   2.94097e-11      4.91441
     3.244e-11      4.67929
   3.57825e-11      4.45543
   3.94694e-11      4.24227
   4.35362e-11      4.03932
   4.80221e-11      3.84608
   5.29701e-11      3.66209
    5.8428e-11      3.48691
   6.44483e-11      3.32011
   7.10888e-11       3.1613
   7.84136e-11      3.01009
   8.64931e-11      2.86611
   9.54051e-11      2.72903
   1.05235e-10      2.59851
   1.16078e-10      2.47424
   1.28039e-10      2.35592
   1.41231e-10      2.24327
   1.55784e-10        2.136
   1.71835e-10      2.03388
    1.8954e-10      1.93664
    2.0907e-10      1.84406
   2.30612e-10      1.75592
   2.54374e-10        1.672
   2.80584e-10      1.59209
   3.09494e-10      1.51601
   3.41383e-10      1.44358
   3.76558e-10      1.37462
   4.15358e-10      1.30896
   4.58155e-10      1.24645
   5.05362e-10      1.18693
   5.57433e-10      1.13026
   6.14869e-10      1.07631
   6.78223e-10      1.02494
   7.48105e-10     0.976032
   8.25188e-10     0.929468
   9.10213e-10     0.885135
      1.004e-9     0.842924
    1.10745e-9     0.802735
    1.22155e-9     0.764471
    1.34742e-9     0.728038
    1.48625e-9     0.693348
    1.63939e-9     0.660318
    1.80831e-9     0.628868
    1.99463e-9     0.598922
    2.20016e-9     0.570406
    2.42685e-9     0.543253
    2.67691e-9     0.517397
    2.95273e-9     0.492775
    3.25697e-9     0.469328
    3.59256e-9     0.446999
    3.96272e-9     0.425734
    4.37103e-9     0.405483
    4.82141e-9     0.386197
    5.31819e-9      0.36783
    5.86616e-9     0.350337
    6.47059e-9     0.333677
     7.1373e-9     0.317811
    7.87271e-9     0.302699
    8.68389e-9     0.288306
    9.57865e-9     0.274598
    1.05656e-8     0.261543
    1.16543e-8     0.249107
    1.28551e-8     0.237263
    1.41796e-8      0.22598
    1.56406e-8     0.215231
    1.72522e-8     0.204988
    1.90298e-8     0.195226
    2.09906e-8     0.185917
    2.31534e-8     0.177038
    2.52419e-8     0.169556
       2.53e-8     0.169361
    2.79068e-8      0.16124
    3.07823e-8     0.153491
