#ZVView-data-copy:  29-Jan-2019 22:42:44
#=======================================
#
#name:   ENDF/B-VIII.0: S-34(N,G)S-35
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  1916
#data...
#            X            Y
#          MeV        barns
         1e-11      11.2466
   1.10304e-11      10.7085
   1.21669e-11      10.1961
   1.34206e-11      9.70817
   1.48034e-11      9.24363
   1.63287e-11      8.80131
   1.80111e-11      8.38016
   1.98669e-11      7.97916
   2.19139e-11      7.59735
   2.41719e-11      7.23381
   2.66625e-11      6.88767
   2.94097e-11      6.55809
     3.244e-11      6.24428
   3.57825e-11      5.94548
   3.94694e-11      5.66099
   4.35362e-11       5.3901
   4.80221e-11      5.13218
   5.29701e-11       4.8866
    5.8428e-11      4.65277
   6.44483e-11      4.43014
   7.10888e-11      4.21815
   7.84136e-11      4.01631
   8.64931e-11      3.82412
   9.54051e-11      3.64114
   1.05235e-10       3.4669
   1.16078e-10      3.30101
   1.28039e-10      3.14305
   1.41231e-10      2.99266
   1.55784e-10      2.84945
   1.71835e-10      2.71311
    1.8954e-10      2.58328
    2.0907e-10      2.45967
   2.30612e-10      2.34197
   2.54374e-10      2.22991
   2.80584e-10       2.1232
   3.09494e-10      2.02161
   3.41383e-10      1.92487
   3.76558e-10      1.83276
   4.15358e-10      1.74506
   4.58155e-10      1.66156
   5.05362e-10      1.58205
   5.57433e-10      1.50635
   6.14869e-10      1.43427
   6.78223e-10      1.36564
   7.48105e-10      1.30029
   8.25188e-10      1.23807
   9.10213e-10      1.17883
      1.004e-9      1.12242
    1.10745e-9      1.06871
    1.22155e-9      1.01757
    1.34742e-9     0.968882
    1.48625e-9      0.92252
    1.63939e-9     0.878377
    1.80831e-9     0.836346
    1.99463e-9     0.796326
    2.20016e-9     0.758221
    2.42685e-9     0.721939
    2.67691e-9     0.687394
    2.95273e-9     0.654501
    3.25697e-9     0.623183
    3.59256e-9     0.593363
    3.96272e-9      0.56497
    4.37103e-9     0.537936
    4.82141e-9     0.512195
    5.31819e-9     0.487686
    5.86616e-9      0.46435
    6.47059e-9      0.44213
     7.1373e-9     0.420974
    7.87271e-9      0.40083
    8.68389e-9      0.38165
    9.57865e-9     0.363387
    1.05656e-8     0.345999
    1.16543e-8     0.329442
    1.28551e-8     0.313678
    1.41796e-8     0.298669
    1.56406e-8     0.284378
    1.72522e-8     0.270771
    1.90298e-8     0.257817
    2.09906e-8     0.245485
    2.31534e-8     0.233745
    2.52419e-8     0.223875
       2.53e-8     0.223618
    2.79068e-8      0.21293
    3.07823e-8     0.202753
     3.3954e-8      0.19306
    3.74525e-8     0.183827
    4.13115e-8     0.175032
    4.55681e-8     0.166659
    5.02633e-8      0.15869
    5.54423e-8     0.151104
    6.11549e-8     0.143878
    6.74561e-8     0.136991
    7.44066e-8     0.130429
    8.20732e-8      0.12418
    9.05297e-8     0.118232
    9.98577e-8     0.112571
    1.10147e-7     0.107188
    1.21496e-7     0.102068
    1.34014e-7    0.0971886
    1.47823e-7    0.0925347
    1.63054e-7     0.088101
    1.79855e-7    0.0838801
    1.98386e-7    0.0798629
    2.18827e-7    0.0760432
    2.41375e-7    0.0724147
    2.66245e-7    0.0689534
    2.93678e-7    0.0656495
    3.23938e-7    0.0625033
    3.57316e-7    0.0595085
    3.94132e-7    0.0566583
    4.34743e-7    0.0539523
     4.8292e-7    0.0512013
    5.32679e-7    0.0487473
    5.87564e-7    0.0464102
    6.48105e-7    0.0441858
    7.14884e-7    0.0420684
    7.88543e-7    0.0400531
    8.69792e-7    0.0381441
    9.66133e-7    0.0361965
    1.06568e-6    0.0344604
    1.17549e-6    0.0328081
     1.2966e-6    0.0312354
     1.4302e-6    0.0297381
    1.57757e-6     0.028313
    1.74011e-6    0.0269562
    1.90606e-6    0.0257601
    2.11718e-6    0.0244433
    2.33533e-6    0.0232716
    2.57595e-6    0.0221554
    2.84137e-6    0.0210922
    3.13414e-6    0.0200812
    3.45707e-6    0.0191183
    3.78675e-6    0.0182687
    4.20618e-6    0.0173341
    4.63957e-6    0.0165035
    5.08202e-6    0.0157667
    5.60566e-6    0.0150081
    6.18325e-6    0.0142887
    6.82035e-6     0.013602
     7.5231e-6    0.0129504
    8.41533e-6    0.0122449
     9.2174e-6    0.0116981
    1.00964e-5    0.0111754
    1.10587e-5    0.0106744
    1.21982e-5    0.0101608
     1.3455e-5   0.00967117
    1.48414e-5   0.00920608
    1.67187e-5   0.00867247
    1.84413e-5   0.00825563
    2.00585e-5   0.00791312
    2.18174e-5   0.00758437
    2.40654e-5   0.00721626
     2.6545e-5   0.00686816
    2.92802e-5     0.006536
    3.29822e-5   0.00615343
    3.66372e-5   0.00583574
      3.985e-5   0.00559203
    4.33445e-5   0.00535818
    4.74757e-5   0.00511426
    5.23674e-5   0.00486543
    5.77632e-5   0.00462723
    6.23915e-5   0.00445107
    6.69186e-5   0.00429227
    7.32966e-5   0.00409623
    7.97241e-5   0.00392269
    8.61121e-5   0.00376955
    9.36634e-5   0.00360878
   0.000103314    0.0034292
   0.000113161    0.0032698
   0.000122228   0.00314217
   0.000133878   0.00299507
   0.000146645   0.00285467
   0.000159505   0.00273031
   0.000172276   0.00262055
    0.00018608    0.0025146
   0.000203816    0.0023936
   0.000223252   0.00227889
    0.00024283   0.00217725
    0.00026785   0.00206311
   0.000291338   0.00196906
   0.000316886   0.00187883
    0.00034226   0.00179907
   0.000369684   0.00172201
   0.000399286   0.00164746
   0.000437363   0.00156263
   0.000478615   0.00148184
   0.000531654   0.00139237
