#ZVView-data-copy:  29-Jan-2019 22:44:37
#=======================================
#
#name:   ENDF/B-VIII.0: SI-30(N,G)SI-31
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5489
#data...
#            X            Y
#          MeV        barns
         1e-11      5.38603
   1.10304e-11      5.12831
   1.21669e-11      4.88291
   1.34206e-11      4.64926
   1.48034e-11      4.42679
   1.63287e-11      4.21496
   1.80111e-11      4.01327
   1.98669e-11      3.82123
   2.19139e-11      3.63839
   2.41719e-11      3.46429
   2.66625e-11      3.29852
   2.94097e-11      3.14068
     3.244e-11      2.99039
   3.57825e-11       2.8473
   3.94694e-11      2.71106
   4.35362e-11      2.58133
   4.80221e-11      2.45781
   5.29701e-11       2.3402
    5.8428e-11      2.22822
   6.44483e-11       2.1216
   7.10888e-11      2.02008
   7.84136e-11      1.92342
   8.64931e-11      1.83138
   9.54051e-11      1.74375
   1.05235e-10      1.66031
   1.16078e-10      1.58086
   1.28039e-10      1.50521
   1.41231e-10      1.43319
   1.55784e-10      1.36461
   1.71835e-10      1.29931
    1.8954e-10      1.23714
    2.0907e-10      1.17794
   2.30612e-10      1.12157
   2.54374e-10      1.06791
   2.80584e-10      1.01681
   3.09494e-10      0.96815
   3.41383e-10     0.921824
   3.76558e-10     0.877714
   4.15358e-10     0.835714
   4.58155e-10     0.795725
   5.05362e-10     0.757648
   5.57433e-10     0.721394
   6.14869e-10     0.686875
   6.78223e-10     0.654007
   7.48105e-10     0.622712
   8.25188e-10     0.592915
   9.10213e-10     0.564544
      1.004e-9      0.53753
    1.10745e-9     0.511808
    1.22155e-9     0.487318
    1.34742e-9     0.463999
    1.48625e-9     0.441797
    1.63939e-9     0.420656
    1.80831e-9     0.400527
    1.99463e-9     0.381362
    2.20016e-9     0.363113
    2.42685e-9     0.345738
    2.67691e-9     0.329194
    2.95273e-9     0.313442
    3.25697e-9     0.298444
    3.59256e-9     0.284163
    3.96272e-9     0.270565
    4.37103e-9     0.257619
    4.82141e-9     0.245291
    5.31819e-9     0.233554
    5.86616e-9     0.222378
    6.47059e-9     0.211737
     7.1373e-9     0.201605
    7.87271e-9     0.191958
    8.68389e-9     0.182773
    9.57865e-9     0.174027
    1.05656e-8       0.1657
    1.16543e-8     0.157771
    1.28551e-8     0.150221
    1.41796e-8     0.143033
    1.56406e-8     0.136189
    1.72522e-8     0.129673
    1.90298e-8     0.123468
    2.09906e-8     0.117561
    2.31534e-8     0.111937
    2.52419e-8     0.107209
       2.53e-8     0.107085
    2.79068e-8     0.101965
    3.07823e-8    0.0970918
     3.3954e-8     0.092452
    3.74525e-8    0.0880336
    4.13115e-8    0.0838245
    4.55681e-8    0.0798143
    5.02633e-8    0.0759942
    5.54423e-8    0.0723576
    6.11549e-8    0.0688968
    6.74561e-8    0.0656032
    7.44066e-8    0.0624667
    8.20732e-8    0.0594776
    9.05297e-8    0.0566291
    9.98577e-8    0.0539161
    1.10147e-7    0.0513338
    1.21496e-7    0.0488772
    1.34014e-7    0.0465416
    1.47823e-7    0.0443188
    1.63054e-7    0.0421988
    1.79855e-7    0.0401773
    1.98386e-7    0.0382522
    2.18827e-7    0.0364197
    2.41375e-7    0.0346758
    2.66245e-7    0.0330183
    2.93678e-7    0.0314435
    3.23938e-7    0.0299398
    3.57316e-7    0.0285051
    3.94132e-7    0.0271392
    4.34743e-7    0.0258391
    4.79537e-7    0.0246018
    5.28947e-7    0.0234277
    5.87564e-7    0.0222331
    6.48105e-7    0.0211675
    7.14884e-7    0.0201529
    7.88543e-7    0.0191873
    8.69792e-7    0.0182682
    9.59413e-7    0.0173934
    1.05827e-6    0.0165652
    1.17549e-6    0.0157193
     1.2966e-6    0.0149658
     1.4302e-6    0.0142487
    1.57757e-6    0.0135661
