# n + 124Xe: Production of 113Cd - Total
# Q-value    = 2.17845E+00 mass= 112.904408
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 6.24376E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 3.12188E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 1.00000E-20
 8.00000E+00 1.00000E-20
 8.50000E+00 1.00000E-20
 9.00000E+00 1.00000E-20
 9.50000E+00 1.00000E-20
 1.00000E+01 1.00000E-20
 1.05000E+01 1.00000E-20
 1.10000E+01 1.00000E-20
 1.15000E+01 1.00000E-20
 1.20000E+01 1.00000E-20
 1.25000E+01 1.00000E-20
 1.30000E+01 1.00000E-20
 1.35000E+01 1.00000E-20
 1.40000E+01 1.00000E-20
 1.45000E+01 1.00000E-20
 1.50000E+01 1.00000E-20
 1.60000E+01 1.00000E-20
 1.70000E+01 1.00000E-20
 1.80000E+01 1.00000E-20
 1.90000E+01 1.00000E-20
 2.00000E+01 1.00000E-20
 2.10000E+01 1.00000E-20
 2.20000E+01 1.00000E-20
 2.30000E+01 1.00000E-20
 2.40000E+01 1.00000E-20
 2.50000E+01 1.00000E-20
 2.60000E+01 1.00000E-20
 2.70000E+01 1.00000E-20
 2.80000E+01 1.00000E-20
 2.90000E+01 1.00000E-20
 3.00000E+01 1.00000E-20
 3.20000E+01 1.86737E-11
 3.40000E+01 2.75218E-10
 3.60000E+01 2.85380E-09
 3.80000E+01 2.41422E-08
 4.00000E+01 1.39637E-07
 4.20000E+01 6.14700E-07
 4.40000E+01 2.13669E-06
 4.60000E+01 5.69287E-06
 4.80000E+01 1.20263E-05
 5.00000E+01 2.15611E-05
 5.20000E+01 3.17612E-05
 5.40000E+01 3.96116E-05
 5.60000E+01 4.43729E-05
 5.80000E+01 4.63696E-05
 6.00000E+01 4.66041E-05
 6.50000E+01 4.17189E-05
 7.00000E+01 4.84541E-05
 7.50000E+01 1.23442E-04
 8.00000E+01 3.26372E-04
 9.00000E+01 8.43267E-04
 1.00000E+02 1.31125E-03
 1.10000E+02 2.26794E-03
 1.20000E+02 3.57948E-03
 1.30000E+02 3.81066E-03
 1.40000E+02 3.99269E-03
 1.50000E+02 4.04271E-03
 1.60000E+02 3.69449E-03
 1.80000E+02 2.62001E-03
 2.00000E+02 2.09257E-03
