# n + 124Xe: Production of 116Sn - Total
# Q-value    =-9.85274E-01 mass= 115.901742
# E-threshold= 9.93295E-01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 6.24376E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 3.12188E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.05000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.15000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.25000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.35000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.45000E+01 0.00000E+00
 1.50000E+01 1.52129E-12
 1.60000E+01 2.77547E-11
 1.70000E+01 3.55130E-10
 1.80000E+01 3.50919E-09
 1.90000E+01 2.54781E-08
 2.00000E+01 1.49045E-07
 2.10000E+01 7.40923E-07
 2.20000E+01 3.11747E-06
 2.30000E+01 1.10875E-05
 2.40000E+01 3.16048E-05
 2.50000E+01 6.86234E-05
 2.60000E+01 1.39116E-04
 2.70000E+01 2.53233E-04
 2.80000E+01 5.10610E-04
 2.90000E+01 1.00615E-03
 3.00000E+01 1.98849E-03
 3.20000E+01 6.89753E-03
 3.40000E+01 1.80983E-02
 3.60000E+01 3.61155E-02
 3.80000E+01 6.11145E-02
 4.00000E+01 8.90220E-02
 4.20000E+01 1.13922E-01
 4.40000E+01 1.27795E-01
 4.60000E+01 1.33048E-01
 4.80000E+01 1.30529E-01
 5.00000E+01 1.24025E-01
 5.20000E+01 1.14968E-01
 5.40000E+01 1.05875E-01
 5.60000E+01 1.00484E-01
 5.80000E+01 9.99588E-02
 6.00000E+01 1.04995E-01
 6.50000E+01 1.58558E-01
 7.00000E+01 2.57670E-01
 7.50000E+01 3.48526E-01
 8.00000E+01 3.93042E-01
 9.00000E+01 4.20412E-01
 1.00000E+02 5.01730E-01
 1.10000E+02 5.86313E-01
 1.20000E+02 5.66486E-01
 1.30000E+02 5.20835E-01
 1.40000E+02 4.80064E-01
 1.50000E+02 4.31389E-01
 1.60000E+02 3.91856E-01
 1.80000E+02 3.30054E-01
 2.00000E+02 2.90572E-01
