# n + 124Xe: Production of 117Sn - Total
# Q-value    = 5.95783E+00 mass= 116.902954
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 1.61018E-18
 2.53000E-08 3.20120E-20
 1.00000E-06 5.09182E-21
 6.24376E-06 2.03775E-21
 1.00000E-05 3.24585E-21
 3.12188E-05 1.00000E-20
 1.00000E-04 1.00000E-20
 2.00000E-04 1.00000E-20
 3.00000E-04 1.00000E-20
 6.00000E-04 1.00000E-20
 1.00000E-03 1.00000E-20
 2.00000E-03 1.00000E-20
 3.00000E-03 1.00000E-20
 6.00000E-03 1.00000E-20
 1.00000E-02 1.00000E-20
 2.00000E-02 1.00000E-20
 3.00000E-02 1.00000E-20
 6.00000E-02 1.00000E-20
 1.00000E-01 1.00000E-20
 2.00000E-01 1.00000E-20
 3.00000E-01 1.00000E-20
 4.00000E-01 1.00000E-20
 5.00000E-01 1.00000E-20
 6.00000E-01 1.00000E-20
 7.00000E-01 1.00000E-20
 8.00000E-01 1.00000E-20
 9.00000E-01 1.00000E-20
 1.00000E+00 1.00000E-20
 1.20000E+00 1.00000E-20
 1.40000E+00 1.00000E-20
 1.60000E+00 1.00000E-20
 1.80000E+00 1.00000E-20
 2.00000E+00 1.00000E-20
 2.20000E+00 1.00000E-20
 2.40000E+00 1.00000E-20
 2.60000E+00 1.00000E-20
 2.80000E+00 1.00000E-20
 3.00000E+00 1.00000E-20
 3.20000E+00 1.00000E-20
 3.40000E+00 1.00000E-20
 3.60000E+00 1.00000E-20
 3.80000E+00 1.00000E-20
 4.00000E+00 1.00000E-20
 4.20000E+00 1.00000E-20
 4.40000E+00 1.00000E-20
 4.60000E+00 1.00000E-20
 4.80000E+00 1.00000E-20
 5.00000E+00 1.00000E-20
 5.20000E+00 1.00000E-20
 5.40000E+00 1.00000E-20
 5.60000E+00 1.00000E-20
 5.80000E+00 1.00000E-20
 6.00000E+00 1.00000E-20
 6.20000E+00 1.00000E-20
 6.40000E+00 1.00000E-20
 6.60000E+00 1.00000E-20
 6.80000E+00 1.00000E-20
 7.00000E+00 1.00000E-20
 7.20000E+00 1.00000E-20
 7.40000E+00 1.00000E-20
 7.60000E+00 1.00000E-20
 7.80000E+00 1.14014E-12
 8.00000E+00 2.06518E-12
 8.50000E+00 8.86610E-12
 9.00000E+00 3.23609E-11
 9.50000E+00 1.11974E-10
 1.00000E+01 3.19851E-10
 1.05000E+01 9.51046E-10
 1.10000E+01 2.32158E-09
 1.15000E+01 5.95613E-09
 1.20000E+01 1.36787E-08
 1.25000E+01 2.89615E-08
 1.30000E+01 6.82297E-08
 1.35000E+01 1.37035E-07
 1.40000E+01 2.71178E-07
 1.45000E+01 5.61957E-07
 1.50000E+01 1.01593E-06
 1.60000E+01 3.21388E-06
 1.70000E+01 8.44826E-06
 1.80000E+01 1.99818E-05
 1.90000E+01 4.22622E-05
 2.00000E+01 8.35510E-05
 2.10000E+01 1.55386E-04
 2.20000E+01 2.80789E-04
 2.30000E+01 4.94684E-04
 2.40000E+01 8.51300E-04
 2.50000E+01 1.43177E-03
 2.60000E+01 2.28946E-03
 2.70000E+01 3.47527E-03
 2.80000E+01 5.15074E-03
 2.90000E+01 7.13918E-03
 3.00000E+01 9.36043E-03
 3.20000E+01 1.35490E-02
 3.40000E+01 1.62985E-02
 3.60000E+01 1.67738E-02
 3.80000E+01 1.64426E-02
 4.00000E+01 1.52616E-02
 4.20000E+01 1.41547E-02
 4.40000E+01 1.29884E-02
 4.60000E+01 1.20743E-02
 4.80000E+01 1.16538E-02
 5.00000E+01 1.20857E-02
 5.20000E+01 1.42271E-02
 5.40000E+01 1.83534E-02
 5.60000E+01 2.55731E-02
 5.80000E+01 3.57597E-02
 6.00000E+01 4.79040E-02
 6.50000E+01 7.53182E-02
 7.00000E+01 8.40489E-02
 7.50000E+01 8.40646E-02
 8.00000E+01 8.43746E-02
 9.00000E+01 1.00664E-01
 1.00000E+02 1.30017E-01
 1.10000E+02 1.39727E-01
 1.20000E+02 1.34334E-01
 1.30000E+02 1.32457E-01
 1.40000E+02 1.28273E-01
 1.50000E+02 1.22416E-01
 1.60000E+02 1.16102E-01
 1.80000E+02 1.14644E-01
 2.00000E+02 1.06308E-01
