# n + 124Xe: Production of 120Sb - Total
# Q-value    =-8.86218E-01 mass= 119.905079
# E-threshold= 8.93432E-01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 6.24376E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 3.12188E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 8.73090E-12
 1.00000E+01 6.41204E-11
 1.05000E+01 3.76353E-10
 1.10000E+01 1.56465E-09
 1.15000E+01 6.76178E-09
 1.20000E+01 2.34091E-08
 1.25000E+01 7.72302E-08
 1.30000E+01 2.26905E-07
 1.35000E+01 6.11061E-07
 1.40000E+01 1.52038E-06
 1.45000E+01 3.54376E-06
 1.50000E+01 7.93923E-06
 1.60000E+01 3.58668E-05
 1.70000E+01 1.50770E-04
 1.80000E+01 5.51079E-04
 1.90000E+01 1.67450E-03
 2.00000E+01 4.19266E-03
 2.10000E+01 8.95370E-03
 2.20000E+01 1.68665E-02
 2.30000E+01 2.85081E-02
 2.40000E+01 4.46495E-02
 2.50000E+01 6.53446E-02
 2.60000E+01 9.00096E-02
 2.70000E+01 1.17196E-01
 2.80000E+01 1.45301E-01
 2.90000E+01 1.71417E-01
 3.00000E+01 1.90334E-01
 3.20000E+01 2.10300E-01
 3.40000E+01 2.09694E-01
 3.60000E+01 1.93602E-01
 3.80000E+01 1.80803E-01
 4.00000E+01 1.62532E-01
 4.20000E+01 1.48046E-01
 4.40000E+01 1.36047E-01
 4.60000E+01 1.25905E-01
 4.80000E+01 1.24796E-01
 5.00000E+01 1.32314E-01
 5.20000E+01 1.48979E-01
 5.40000E+01 1.75226E-01
 5.60000E+01 2.08035E-01
 5.80000E+01 2.45172E-01
 6.00000E+01 2.75882E-01
 6.50000E+01 3.34879E-01
 7.00000E+01 3.60362E-01
 7.50000E+01 3.71967E-01
 8.00000E+01 3.93754E-01
 9.00000E+01 4.03294E-01
 1.00000E+02 4.07625E-01
 1.10000E+02 3.69136E-01
 1.20000E+02 3.46353E-01
 1.30000E+02 3.17072E-01
 1.40000E+02 2.93829E-01
 1.50000E+02 2.70320E-01
 1.60000E+02 2.48420E-01
 1.80000E+02 2.14035E-01
 2.00000E+02 1.87772E-01
