# n + 124Xe: Production of 120Te - Total
# Q-value    =-7.18346E-01 mass= 119.904059
# E-threshold= 7.24193E-01
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 6.24376E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 3.12188E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 1.06526E-12
 5.00000E+00 1.87176E-11
 5.20000E+00 7.41137E-11
 5.40000E+00 3.19669E-10
 5.60000E+00 1.42670E-09
 5.80000E+00 3.56249E-09
 6.00000E+00 1.29023E-08
 6.20000E+00 3.78943E-08
 6.40000E+00 9.05276E-08
 6.60000E+00 2.53203E-07
 6.80000E+00 5.61076E-07
 7.00000E+00 1.30902E-06
 7.20000E+00 2.88222E-06
 7.40000E+00 5.69836E-06
 7.60000E+00 1.18257E-05
 7.80000E+00 2.29976E-05
 8.00000E+00 4.25352E-05
 8.50000E+00 1.80237E-04
 9.00000E+00 6.51036E-04
 9.50000E+00 1.96282E-03
 1.00000E+01 5.11198E-03
 1.05000E+01 1.19008E-02
 1.10000E+01 2.16389E-02
 1.15000E+01 3.12548E-02
 1.20000E+01 4.41680E-02
 1.25000E+01 6.58289E-02
 1.30000E+01 1.13811E-01
 1.35000E+01 1.99049E-01
 1.40000E+01 3.39640E-01
 1.45000E+01 5.82589E-01
 1.50000E+01 9.26121E-01
 1.60000E+01 2.05970E+00
 1.70000E+01 3.87286E+00
 1.80000E+01 6.41422E+00
 1.90000E+01 9.46874E+00
 2.00000E+01 1.28253E+01
 2.10000E+01 1.57167E+01
 2.20000E+01 1.90212E+01
 2.30000E+01 2.21663E+01
 2.40000E+01 2.51579E+01
 2.50000E+01 2.78766E+01
 2.60000E+01 2.99688E+01
 2.70000E+01 3.12104E+01
 2.80000E+01 3.17806E+01
 2.90000E+01 3.15015E+01
 3.00000E+01 3.07498E+01
 3.20000E+01 2.83483E+01
 3.40000E+01 2.53163E+01
 3.60000E+01 2.25829E+01
 3.80000E+01 2.01854E+01
 4.00000E+01 1.79562E+01
 4.20000E+01 1.68240E+01
 4.40000E+01 1.66311E+01
 4.60000E+01 1.77477E+01
 4.80000E+01 2.01366E+01
 5.00000E+01 2.32012E+01
 5.20000E+01 2.66697E+01
 5.40000E+01 2.99245E+01
 5.60000E+01 3.26618E+01
 5.80000E+01 3.45366E+01
 6.00000E+01 3.54390E+01
 6.50000E+01 3.45981E+01
 7.00000E+01 3.24774E+01
 7.50000E+01 3.11171E+01
 8.00000E+01 3.00456E+01
 9.00000E+01 2.75928E+01
 1.00000E+02 2.45162E+01
 1.10000E+02 2.13736E+01
 1.20000E+02 1.86165E+01
 1.30000E+02 1.66018E+01
 1.40000E+02 1.48709E+01
 1.50000E+02 1.34587E+01
 1.60000E+02 1.22893E+01
 1.80000E+02 1.03293E+01
 2.00000E+02 9.01825E+00
