# n + 126Xe: Production of 123Te - Total
# Q-value    = 5.67160E+00 mass= 122.904269
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 1.02235E-04
 2.53000E-08 2.03254E-06
 1.00000E-06 3.23295E-07
 1.00000E-05 1.02235E-07
 1.32156E-05 8.89315E-08
 6.60779E-05 1.12282E-05
 1.00000E-04 8.15216E-06
 2.00000E-04 4.71184E-06
 3.00000E-04 3.39910E-06
 6.00000E-04 1.93521E-06
 1.00000E-03 1.28110E-06
 2.00000E-03 7.48369E-07
 3.00000E-03 5.59772E-07
 6.00000E-03 3.62991E-07
 1.00000E-02 2.78395E-07
 2.00000E-02 2.04523E-07
 3.00000E-02 1.73885E-07
 6.00000E-02 1.37522E-07
 1.00000E-01 1.25243E-07
 2.00000E-01 1.34939E-07
 3.00000E-01 1.67891E-07
 4.00000E-01 2.65768E-07
 5.00000E-01 3.32817E-07
 6.00000E-01 4.88665E-07
 7.00000E-01 6.58982E-07
 8.00000E-01 8.75551E-07
 9.00000E-01 1.37134E-06
 1.00000E+00 1.90958E-06
 1.20000E+00 3.83093E-06
 1.40000E+00 7.13571E-06
 1.60000E+00 1.43265E-05
 1.80000E+00 2.43465E-05
 2.00000E+00 4.51731E-05
 2.20000E+00 7.70313E-05
 2.40000E+00 1.17168E-04
 2.60000E+00 1.74582E-04
 2.80000E+00 2.41809E-04
 3.00000E+00 3.41269E-04
 3.20000E+00 4.69080E-04
 3.40000E+00 6.18160E-04
 3.60000E+00 8.24295E-04
 3.80000E+00 1.05746E-03
 4.00000E+00 1.35944E-03
 4.20000E+00 1.72943E-03
 4.40000E+00 2.14476E-03
 4.60000E+00 2.67965E-03
 4.80000E+00 3.29488E-03
 5.00000E+00 4.04873E-03
 5.20000E+00 4.99068E-03
 5.40000E+00 6.05152E-03
 5.60000E+00 7.43839E-03
 5.80000E+00 9.17782E-03
 6.00000E+00 1.13551E-02
 6.20000E+00 1.43948E-02
 6.40000E+00 1.78058E-02
 6.60000E+00 2.20260E-02
 6.80000E+00 2.74263E-02
 7.00000E+00 3.34153E-02
 7.20000E+00 4.21787E-02
 7.40000E+00 5.18681E-02
 7.60000E+00 6.26641E-02
 7.80000E+00 7.78034E-02
 8.00000E+00 9.32053E-02
 8.50000E+00 1.51449E-01
 9.00000E+00 2.39895E-01
 9.50000E+00 3.67601E-01
 1.00000E+01 5.42926E-01
 1.05000E+01 7.64849E-01
 1.10000E+01 1.05605E+00
 1.15000E+01 1.41572E+00
 1.20000E+01 1.86343E+00
 1.25000E+01 2.36749E+00
 1.30000E+01 2.94439E+00
 1.35000E+01 3.59771E+00
 1.40000E+01 4.31650E+00
 1.45000E+01 5.07842E+00
 1.50000E+01 5.93998E+00
 1.60000E+01 7.87390E+00
 1.70000E+01 1.00918E+01
 1.80000E+01 1.27632E+01
 1.90000E+01 1.44499E+01
 2.00000E+01 1.53987E+01
 2.10000E+01 1.48750E+01
 2.20000E+01 1.29969E+01
 2.30000E+01 1.19407E+01
 2.40000E+01 1.09956E+01
 2.50000E+01 1.01582E+01
 2.60000E+01 9.30384E+00
 2.70000E+01 8.54790E+00
 2.80000E+01 7.86354E+00
 2.90000E+01 7.17985E+00
 3.00000E+01 6.61266E+00
 3.20000E+01 5.85450E+00
 3.40000E+01 5.58537E+00
 3.60000E+01 5.93289E+00
 3.80000E+01 6.67878E+00
 4.00000E+01 7.79321E+00
 4.20000E+01 9.01702E+00
 4.40000E+01 1.02323E+01
 4.60000E+01 1.12933E+01
 4.80000E+01 1.20616E+01
 5.00000E+01 1.24091E+01
 5.20000E+01 1.25605E+01
 5.40000E+01 1.24387E+01
 5.60000E+01 1.20779E+01
 5.80000E+01 1.16812E+01
 6.00000E+01 1.13336E+01
 6.50000E+01 1.07091E+01
 7.00000E+01 1.01287E+01
 7.50000E+01 9.64808E+00
 8.00000E+01 9.12722E+00
 9.00000E+01 8.24026E+00
 1.00000E+02 7.37991E+00
 1.10000E+02 6.68404E+00
 1.20000E+02 6.12455E+00
 1.30000E+02 5.67055E+00
 1.40000E+02 5.13791E+00
 1.50000E+02 4.66361E+00
 1.60000E+02 4.20385E+00
 1.80000E+02 3.55249E+00
 2.00000E+02 3.05501E+00
