# n + 130Xe: Production of 129Xe - Total
# Q-value    =-9.24989E+00 mass= 128.904780
# E-threshold= 9.32171E+00
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 4.60000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 2.30000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 0.00000E+00
 6.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 3.00000E-02 0.00000E+00
 6.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 3.00000E-01 0.00000E+00
 4.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 6.00000E-01 0.00000E+00
 7.00000E-01 0.00000E+00
 8.00000E-01 0.00000E+00
 9.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 1.20000E+00 0.00000E+00
 1.40000E+00 0.00000E+00
 1.60000E+00 0.00000E+00
 1.80000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 2.20000E+00 0.00000E+00
 2.40000E+00 0.00000E+00
 2.60000E+00 0.00000E+00
 2.80000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 3.20000E+00 0.00000E+00
 3.40000E+00 0.00000E+00
 3.60000E+00 0.00000E+00
 3.80000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 4.20000E+00 0.00000E+00
 4.40000E+00 0.00000E+00
 4.60000E+00 0.00000E+00
 4.80000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 5.20000E+00 0.00000E+00
 5.40000E+00 0.00000E+00
 5.60000E+00 0.00000E+00
 5.80000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 6.20000E+00 0.00000E+00
 6.40000E+00 0.00000E+00
 6.60000E+00 0.00000E+00
 6.80000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 7.20000E+00 0.00000E+00
 7.40000E+00 0.00000E+00
 7.60000E+00 0.00000E+00
 7.80000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 8.50000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 9.50000E+00 1.03249E+01
 1.00000E+01 1.58023E+02
 1.05000E+01 4.22599E+02
 1.10000E+01 7.13705E+02
 1.15000E+01 9.71307E+02
 1.20000E+01 1.14636E+03
 1.25000E+01 1.29315E+03
 1.30000E+01 1.39694E+03
 1.35000E+01 1.46867E+03
 1.40000E+01 1.52038E+03
 1.45000E+01 1.55763E+03
 1.50000E+01 1.58427E+03
 1.60000E+01 1.61488E+03
 1.70000E+01 1.63296E+03
 1.80000E+01 1.61467E+03
 1.90000E+01 1.52736E+03
 2.00000E+01 1.35914E+03
 2.10000E+01 1.15595E+03
 2.20000E+01 9.53373E+02
 2.30000E+01 7.77037E+02
 2.40000E+01 6.39966E+02
 2.50000E+01 5.40778E+02
 2.60000E+01 4.69612E+02
 2.70000E+01 4.20506E+02
 2.80000E+01 3.86334E+02
 2.90000E+01 3.61055E+02
 3.00000E+01 3.41799E+02
 3.20000E+01 3.14310E+02
 3.40000E+01 2.95611E+02
 3.60000E+01 2.79700E+02
 3.80000E+01 2.64763E+02
 4.00000E+01 2.50410E+02
 4.20000E+01 2.36107E+02
 4.40000E+01 2.23676E+02
 4.60000E+01 2.11493E+02
 4.80000E+01 1.99749E+02
 5.00000E+01 1.91077E+02
 5.20000E+01 1.81687E+02
 5.40000E+01 1.77356E+02
 5.60000E+01 1.73335E+02
 5.80000E+01 1.66081E+02
 6.00000E+01 1.60160E+02
 6.50000E+01 1.46503E+02
 7.00000E+01 1.36175E+02
 7.50000E+01 1.26359E+02
 8.00000E+01 1.18509E+02
 9.00000E+01 1.06129E+02
 1.00000E+02 9.59813E+01
 1.10000E+02 8.73849E+01
 1.20000E+02 8.05556E+01
 1.30000E+02 7.15443E+01
 1.40000E+02 6.47678E+01
 1.50000E+02 5.80897E+01
 1.60000E+02 5.27997E+01
 1.80000E+02 4.40033E+01
 2.00000E+02 3.73868E+01
