# n + 131Xe: Production of 131Xe - Total
# Q-value    =-8.01850E-02 mass= 130.905084
# E-threshold= 8.08029E-02
# # energies =   121
#     E          xs
 1.00000E-11 0.00000E+00
 2.53000E-08 0.00000E+00
 1.00000E-06 0.00000E+00
 9.80000E-06 0.00000E+00
 1.00000E-05 0.00000E+00
 4.90000E-05 0.00000E+00
 1.00000E-04 0.00000E+00
 2.00000E-04 0.00000E+00
 3.00000E-04 0.00000E+00
 6.00000E-04 0.00000E+00
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 3.00000E-03 6.09477E-04
 6.00000E-03 1.72603E-03
 1.00000E-02 3.11408E-03
 2.00000E-02 4.97866E-03
 3.00000E-02 5.64426E-03
 6.00000E-02 6.05583E-03
 1.00000E-01 1.29485E+02
 2.00000E-01 2.27497E+02
 3.00000E-01 2.69768E+02
 4.00000E-01 4.37850E+02
 5.00000E-01 7.04135E+02
 6.00000E-01 8.37289E+02
 7.00000E-01 9.79496E+02
 8.00000E-01 1.16132E+03
 9.00000E-01 1.27647E+03
 1.00000E+00 1.39553E+03
 1.20000E+00 1.58771E+03
 1.40000E+00 1.70940E+03
 1.60000E+00 1.79494E+03
 1.80000E+00 1.87881E+03
 2.00000E+00 1.96955E+03
 2.20000E+00 2.04340E+03
 2.40000E+00 2.10444E+03
 2.60000E+00 2.15917E+03
 2.80000E+00 2.21070E+03
 3.00000E+00 2.25891E+03
 3.20000E+00 2.30193E+03
 3.40000E+00 2.33755E+03
 3.60000E+00 2.36416E+03
 3.80000E+00 2.38127E+03
 4.00000E+00 2.38907E+03
 4.20000E+00 2.38846E+03
 4.40000E+00 2.38045E+03
 4.60000E+00 2.36635E+03
 4.80000E+00 2.34755E+03
 5.00000E+00 2.32532E+03
 5.20000E+00 2.30110E+03
 5.40000E+00 2.27605E+03
 5.60000E+00 2.25128E+03
 5.80000E+00 2.22765E+03
 6.00000E+00 2.20590E+03
 6.20000E+00 2.18636E+03
 6.40000E+00 2.16966E+03
 6.60000E+00 2.15553E+03
 6.80000E+00 2.13928E+03
 7.00000E+00 2.11118E+03
 7.20000E+00 2.07346E+03
 7.40000E+00 2.02417E+03
 7.60000E+00 1.96029E+03
 7.80000E+00 1.88779E+03
 8.00000E+00 1.80755E+03
 8.50000E+00 1.56951E+03
 9.00000E+00 1.32029E+03
 9.50000E+00 1.08478E+03
 1.00000E+01 8.86109E+02
 1.05000E+01 7.19168E+02
 1.10000E+01 5.90973E+02
 1.15000E+01 4.94888E+02
 1.20000E+01 4.23173E+02
 1.25000E+01 3.69838E+02
 1.30000E+01 3.30774E+02
 1.35000E+01 3.02259E+02
 1.40000E+01 2.81465E+02
 1.45000E+01 2.65841E+02
 1.50000E+01 2.54330E+02
 1.60000E+01 2.37659E+02
 1.70000E+01 2.25936E+02
 1.80000E+01 2.16361E+02
 1.90000E+01 2.07401E+02
 2.00000E+01 2.01248E+02
 2.10000E+01 1.93305E+02
 2.20000E+01 1.85221E+02
 2.30000E+01 1.77658E+02
 2.40000E+01 1.71765E+02
 2.50000E+01 1.66016E+02
 2.60000E+01 1.61768E+02
 2.70000E+01 1.57513E+02
 2.80000E+01 1.54197E+02
 2.90000E+01 1.50408E+02
 3.00000E+01 1.46311E+02
 3.20000E+01 1.37318E+02
 3.40000E+01 1.28296E+02
 3.60000E+01 1.20084E+02
 3.80000E+01 1.13753E+02
 4.00000E+01 1.07195E+02
 4.20000E+01 1.00830E+02
 4.40000E+01 9.55037E+01
 4.60000E+01 9.23298E+01
 4.80000E+01 9.10839E+01
 5.00000E+01 8.98441E+01
 5.20000E+01 8.61695E+01
 5.40000E+01 8.20188E+01
 5.60000E+01 7.80925E+01
 5.80000E+01 7.46348E+01
 6.00000E+01 7.13334E+01
 6.50000E+01 6.40781E+01
 7.00000E+01 5.74121E+01
 7.50000E+01 5.19798E+01
 8.00000E+01 4.67665E+01
 9.00000E+01 3.83069E+01
 1.00000E+02 3.16078E+01
 1.10000E+02 2.62487E+01
 1.20000E+02 2.19180E+01
 1.30000E+02 1.84651E+01
 1.40000E+02 1.56937E+01
 1.50000E+02 1.34630E+01
 1.60000E+02 1.17013E+01
 1.80000E+02 9.12169E+00
 2.00000E+02 7.41469E+00
