# n + 136Xe: Production of 137Xe - Total
# Q-value    = 4.02557E+00 mass= 136.911557
# E-threshold= 0.00000E+00
# # energies =   121
#     E          xs
 1.00000E-11 1.30778E+04
 2.53000E-08 2.60000E+02
 1.00000E-06 4.13555E+01
 1.00000E-05 1.30778E+01
 1.00000E-04 4.13555E+00
 2.00000E-04 2.92428E+00
 3.00000E-04 2.38766E+00
 6.00000E-04 1.68833E+00
 1.00000E-03 1.30778E+00
 2.00000E-03 9.24738E-01
 2.60000E-03 8.11049E-01
 3.00000E-03 8.24212E-01
 6.00000E-03 8.91062E-01
 1.00000E-02 9.43774E-01
 1.30000E-02 9.72047E-01
 2.00000E-02 7.75614E-01
 3.00000E-02 6.14710E-01
 6.00000E-02 4.30871E-01
 1.00000E-01 3.48112E-01
 2.00000E-01 2.84352E-01
 3.00000E-01 2.82963E-01
 4.00000E-01 2.95981E-01
 5.00000E-01 3.16299E-01
 6.00000E-01 3.43364E-01
 7.00000E-01 3.77812E-01
 8.00000E-01 4.19510E-01
 9.00000E-01 4.68567E-01
 1.00000E+00 5.26043E-01
 1.20000E+00 6.63329E-01
 1.40000E+00 6.34793E-01
 1.60000E+00 5.53973E-01
 1.80000E+00 3.23251E-01
 2.00000E+00 2.86101E-01
 2.20000E+00 2.83868E-01
 2.40000E+00 2.76211E-01
 2.60000E+00 2.47808E-01
 2.80000E+00 2.24865E-01
 3.00000E+00 2.16326E-01
 3.20000E+00 2.14203E-01
 3.40000E+00 2.09812E-01
 3.60000E+00 2.15070E-01
 3.80000E+00 2.26399E-01
 4.00000E+00 2.36904E-01
 4.20000E+00 2.50255E-01
 4.40000E+00 2.38587E-01
 4.60000E+00 2.20050E-01
 4.80000E+00 1.96771E-01
 5.00000E+00 1.75181E-01
 5.20000E+00 1.54278E-01
 5.40000E+00 1.36599E-01
 5.60000E+00 1.21220E-01
 5.80000E+00 1.09756E-01
 6.00000E+00 1.00890E-01
 6.20000E+00 9.42286E-02
 6.40000E+00 8.90470E-02
 6.60000E+00 8.22416E-02
 6.80000E+00 8.05695E-02
 7.00000E+00 8.00020E-02
 7.20000E+00 7.81421E-02
 7.40000E+00 8.01715E-02
 7.60000E+00 7.58498E-02
 7.80000E+00 8.03249E-02
 8.00000E+00 8.53640E-02
 8.50000E+00 9.95502E-02
 9.00000E+00 1.23589E-01
 9.50000E+00 1.61158E-01
 1.00000E+01 2.15512E-01
 1.05000E+01 2.86783E-01
 1.10000E+01 3.68540E-01
 1.15000E+01 4.49509E-01
 1.20000E+01 5.20991E-01
 1.25000E+01 5.76036E-01
 1.30000E+01 6.09319E-01
 1.35000E+01 6.23302E-01
 1.40000E+01 6.20623E-01
 1.45000E+01 6.01502E-01
 1.50000E+01 5.66634E-01
 1.60000E+01 4.83333E-01
 1.70000E+01 3.97901E-01
 1.80000E+01 3.18013E-01
 1.90000E+01 2.66559E-01
 2.00000E+01 2.27590E-01
 2.10000E+01 1.99280E-01
 2.20000E+01 1.76643E-01
 2.30000E+01 1.61033E-01
 2.40000E+01 1.48316E-01
 2.50000E+01 1.37727E-01
 2.60000E+01 1.30093E-01
 2.70000E+01 1.23877E-01
 2.80000E+01 1.17327E-01
 2.90000E+01 1.12150E-01
 3.00000E+01 1.07726E-01
 3.20000E+01 9.92944E-02
 3.40000E+01 9.25750E-02
 3.60000E+01 8.67730E-02
 3.80000E+01 8.01991E-02
 4.00000E+01 7.43105E-02
 4.20000E+01 7.08932E-02
 4.40000E+01 6.77812E-02
 4.60000E+01 6.53272E-02
 4.80000E+01 6.30552E-02
 5.00000E+01 6.09701E-02
 5.20000E+01 5.88421E-02
 5.40000E+01 5.68786E-02
 5.60000E+01 5.52219E-02
 5.80000E+01 5.38023E-02
 6.00000E+01 5.17189E-02
 6.50000E+01 4.97332E-02
 7.00000E+01 4.53735E-02
 7.50000E+01 4.26547E-02
 8.00000E+01 3.76882E-02
 9.00000E+01 3.51428E-02
 1.00000E+02 2.98407E-02
 1.10000E+02 2.44350E-02
 1.20000E+02 2.27614E-02
 1.30000E+02 2.18807E-02
 1.40000E+02 2.02941E-02
 1.50000E+02 1.80755E-02
 1.60000E+02 1.58459E-02
 1.80000E+02 1.11233E-02
 2.00000E+02 7.64489E-03
