#ZVView-data-copy:  31-Jul-2018 00:28:52
#=======================================
#
#name:   JENDL-4.0: XE-124(N,NON)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  1757
#data...
#            X            Y
#          MeV        barns
         1e-11       7404.5
   1.10304e-11      7050.19
   1.21669e-11      6712.84
   1.34206e-11      6391.62
   1.48034e-11      6085.78
   1.63287e-11      5794.58
   1.80111e-11       5517.3
   1.98669e-11       5253.3
   2.19139e-11      5001.93
   2.41719e-11      4762.58
   2.66625e-11      4534.69
   2.94097e-11      4317.71
     3.244e-11       4111.1
   3.57825e-11      3914.39
   3.94694e-11      3727.09
   4.35362e-11      3548.75
   4.80221e-11      3378.94
   5.29701e-11      3217.26
    5.8428e-11      3063.32
   6.44483e-11      2916.74
   7.10888e-11      2777.18
   7.84136e-11      2644.29
   8.64931e-11      2517.77
   9.54051e-11      2397.29
   1.05235e-10      2282.59
   1.16078e-10      2173.37
   1.28039e-10      2069.38
   1.41231e-10      1970.37
   1.55784e-10      1876.09
   1.71835e-10      1786.33
    1.8954e-10      1700.86
    2.0907e-10      1619.48
   2.30612e-10         1542
   2.54374e-10      1468.22
   2.80584e-10      1397.98
   3.09494e-10       1331.1
   3.41383e-10      1267.41
   3.76558e-10      1206.78
   4.15358e-10      1149.05
   4.58155e-10      1094.08
   5.05362e-10      1041.74
   5.57433e-10      991.909
   6.14869e-10      944.462
   6.78223e-10      899.286
   7.48105e-10      856.272
   8.25188e-10      815.318
   9.10213e-10      776.324
      1.004e-9      739.197
    1.10745e-9      703.848
    1.22155e-9      670.192
    1.34742e-9      638.147
    1.48625e-9      607.636
    1.63939e-9      578.587
    1.80831e-9       550.93
    1.99463e-9      524.597
    2.20016e-9      499.525
    2.42685e-9      475.655
    2.67691e-9      452.929
    2.95273e-9      431.292
    3.25697e-9      410.693
    3.59256e-9      391.081
    3.96272e-9      372.409
    4.37103e-9      354.634
    4.82141e-9      337.712
    5.31819e-9      321.604
    5.86616e-9      306.272
    6.47059e-9      291.679
     7.1373e-9      277.791
    7.87271e-9      264.572
    8.68389e-9      251.988
    9.57865e-9      240.005
    1.05656e-8      228.593
    1.16543e-8      217.726
    1.28551e-8      207.382
    1.41796e-8      197.543
    1.56406e-8      188.182
    1.72522e-8      179.272
    1.90298e-8      170.787
    2.09906e-8      162.708
    2.31534e-8      155.022
    2.52419e-8      148.566
       2.53e-8      148.398
    2.79068e-8       141.41
    3.07823e-8      134.758
     3.3954e-8      128.428
    3.74525e-8       122.41
    4.13115e-8      116.696
    4.55681e-8      111.271
    5.06179e-8      105.743
    5.58334e-8      100.837
    6.15863e-8      96.1744
    6.79319e-8      91.7452
    7.49314e-8      87.5389
    8.26521e-8      83.5483
    9.11684e-8      79.7731
    1.01266e-7       75.935
    1.12489e-7      72.2929
    1.24948e-7      68.8543
    1.38795e-7      65.6078
    1.54168e-7      62.5474
    1.71253e-7      59.6649
    1.90221e-7      56.9531
    2.11301e-7      54.3976
    2.34706e-7      52.0195
    2.60715e-7      49.7649
    2.89593e-7      47.6536
    3.21685e-7      45.6818
    3.57316e-7      43.8475
    3.96913e-7      42.1457
    4.40876e-7       40.575
    4.93163e-7      39.0413
    5.51652e-7      37.6536
    6.17077e-7      36.4131
    6.90262e-7      35.3228
    7.72126e-7      34.3874
      8.637e-7      33.6188
    9.66133e-7      33.0288
     1.0824e-6      32.6339
    1.20229e-6      32.4767
    1.23005e-6      32.4721
    1.36636e-6      32.6063
    1.50714e-6       32.998
    1.65079e-6       33.648
    1.79555e-6      34.5555
    1.93942e-6      35.7187
    2.08014e-6      37.1283
    2.21545e-6      38.7653
    2.34314e-6      40.5977
    2.46096e-6      42.5727
     2.5666e-6      44.6113
    2.67677e-6      47.0505
    2.77211e-6      49.4631
    2.87099e-6      52.3108
    2.95257e-6       54.958
    3.03647e-6      58.0178
    3.12275e-6      61.5802
    3.18899e-6       64.645
     3.2568e-6      68.1256
    3.32588e-6      72.0828
    3.39659e-6      76.6326
    3.46864e-6      81.8772
    3.51758e-6      85.8465
     3.5672e-6      90.2582
    3.61753e-6      95.1828
    3.66857e-6      100.706
    3.72032e-6      106.932
    3.77281e-6       113.99
    3.81273e-6      119.937
    3.85303e-6      126.518
     3.8937e-6      133.831
    3.93476e-6      141.992
    3.97639e-6      151.186
    4.01842e-6      161.553
    4.06084e-6      173.306
    4.08938e-6      182.056
    4.11813e-6      191.644
    4.14708e-6      202.186
    4.17623e-6      213.816
    4.20558e-6      226.693
    4.23515e-6      241.007
    4.26492e-6      256.986
     4.2949e-6        274.9
    4.31754e-6      289.815
    4.34018e-6      306.086
    4.36314e-6      324.154
    4.38611e-6      344.016
    4.40918e-6       366.03
    4.43246e-6      390.643
    4.45575e-6      418.011
    4.47925e-6      448.856
    4.50287e-6      483.637
    4.51861e-6      509.258
    4.53447e-6        537.3
    4.55043e-6      568.093
     4.5664e-6      601.772
    4.58236e-6      638.713
    4.59844e-6      679.656
    4.61463e-6       725.21
    4.63082e-6      775.739
    4.64701e-6      832.001
    4.65921e-6      878.731
    4.67152e-6      930.188
