#ZVView-data-copy:  31-Jul-2018 00:34:08
#=======================================
#
#name:   JENDL-4.0: XE-124(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  3266
#data...
#            X            Y
#          MeV        barns
         1e-11      7405.36
   1.10304e-11      7051.02
   1.21669e-11      6713.62
   1.34206e-11      6392.37
   1.48034e-11       6086.5
   1.63287e-11      5795.26
   1.64438e-11      5776.28
   1.80111e-11      5517.95
   1.82652e-11       5481.8
   1.98669e-11      5253.92
   2.02893e-11      5202.04
   2.19139e-11      5002.52
   2.25366e-11       4936.5
   2.41719e-11      4763.15
   2.50341e-11      4684.25
   2.66625e-11      4535.23
    2.7807e-11      4444.83
   2.94097e-11      4318.23
   3.08885e-11      4217.39
     3.244e-11       4111.6
   3.43098e-11      4001.55
   3.57825e-11      3914.86
   3.81119e-11      3796.51
   3.94694e-11      3727.54
   4.23333e-11      3601.94
   4.35362e-11      3549.18
   4.70246e-11      3417.12
   4.80221e-11      3379.36
   5.22332e-11      3241.74
   5.29701e-11      3217.66
   5.80216e-11      3075.16
    5.8428e-11       3063.7
   6.44483e-11      2917.11
   7.10888e-11      2777.53
   7.15903e-11      2768.43
   7.84136e-11      2644.63
   7.95198e-11       2627.3
   8.64931e-11      2518.09
   8.89508e-11      2484.87
   9.54051e-11      2397.61
   9.95003e-11      2349.82
   1.05235e-10      2282.89
   1.11301e-10      2221.79
   1.16078e-10      2173.67
   1.24501e-10      2100.43
   1.28039e-10      2069.67
   1.39267e-10      1985.39
   1.41231e-10      1970.64
   1.55784e-10      1876.36
   1.56883e-10      1870.21
   1.71835e-10      1786.59
   1.76718e-10      1763.01
    1.8954e-10      1701.11
   1.99071e-10      1661.39
    2.0907e-10      1619.73
   2.25822e-10      1559.47
   2.30612e-10      1542.23
   2.54374e-10      1468.45
   2.56168e-10      1463.64
   2.80584e-10       1398.2
   2.92627e-10      1370.34
   3.09494e-10      1331.32
   3.34292e-10      1281.79
   3.41383e-10      1267.63
   3.76558e-10      1206.99
   3.84565e-10      1195.08
   4.15358e-10      1149.25
   4.45496e-10      1110.54
   4.58155e-10      1094.28
   5.05362e-10      1041.94
   5.19722e-10       1028.2
   5.57433e-10      992.105
   6.10592e-10      948.188
   6.14869e-10      944.655
   6.78223e-10      899.476
   7.27435e-10      869.184
   7.48105e-10       856.46
   8.25188e-10      815.504
    8.7275e-10       793.69
   9.10213e-10      776.508
      1.004e-9       739.38
    1.06936e-9      717.045
    1.10745e-9      704.029
    1.22155e-9      670.371
    1.33805e-9      640.711
    1.34742e-9      638.325
    1.48625e-9      607.813
    1.63939e-9      578.763
    1.70976e-9       567.24
    1.80831e-9      551.104
    1.99463e-9      524.771
    2.20016e-9      499.698
    2.26267e-9      493.115
    2.42685e-9      475.828
    2.67691e-9      453.101
    2.95273e-9      431.463
    3.12292e-9      419.939
    3.25697e-9      410.863
