#ZVView-data-copy:  31-Jul-2018 04:59:27
#=======================================
#
#name:   TENDL-2017: XE-125(N,G)XE-126
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5353
#data...
#            X            Y
#          MeV        barns
         1e-11      2112.84
   1.10304e-11      2011.74
   1.21669e-11      1915.49
   1.34206e-11      1823.84
   1.48034e-11      1736.58
   1.63287e-11      1653.49
   1.80111e-11      1574.39
   1.98669e-11      1499.06
   2.19139e-11      1427.34
   2.41719e-11      1359.06
   2.66625e-11      1294.04
   2.94097e-11      1232.13
     3.244e-11      1173.19
   3.57825e-11      1117.07
   3.94694e-11      1063.63
   4.35362e-11      1012.75
   4.80221e-11      964.312
   5.29701e-11      918.189
    5.8428e-11      874.273
   6.44483e-11      832.461
   7.10888e-11       792.65
   7.84136e-11      754.745
   8.64931e-11      718.655
   9.54051e-11      684.293
   1.05235e-10      651.577
   1.16078e-10      620.428
   1.28039e-10      590.771
   1.41231e-10      562.535
   1.55784e-10      535.651
   1.71835e-10      510.055
    1.8954e-10      485.686
    2.0907e-10      462.485
   2.30612e-10      440.396
   2.54374e-10      419.367
   2.80584e-10      399.345
   3.09494e-10      380.284
   3.41383e-10      362.138
   3.76558e-10      344.862
   4.15358e-10      328.416
   4.58155e-10       312.76
   5.05362e-10      297.855
   5.57433e-10      283.667
   6.14869e-10      270.161
   6.78223e-10      257.305
   7.48105e-10      245.068
   8.25188e-10       233.42
   9.10213e-10      222.333
      1.004e-9      211.782
    1.10745e-9      201.739
    1.22155e-9      192.182
    1.34742e-9      183.087
    1.48625e-9      174.432
    1.63939e-9      166.197
    1.80831e-9      158.362
    1.99463e-9      150.908
    2.20016e-9      143.816
    2.42685e-9      137.071
    2.67691e-9      130.656
    2.95273e-9      124.555
    3.25697e-9      118.755
    3.59256e-9       113.24
    3.96272e-9      107.998
    4.37103e-9      103.017
    4.82141e-9      98.2837
    5.31819e-9      93.7885
    5.86616e-9      89.5205
    6.51624e-9      85.1873
      7.238e-9      81.0935
     8.0401e-9      77.2233
    8.93064e-9      73.5689
    9.92032e-9      70.1164
    1.10191e-8      66.8605
    1.22402e-8       63.791
     1.3596e-8      60.9041
    1.51027e-8      58.1882
    1.67755e-8      55.6372
    1.86345e-8      53.2422
    2.06986e-8      51.0017
    2.29923e-8      48.9108
    2.52419e-8      47.1776
       2.53e-8      47.1363
    2.81037e-8      45.3244
    3.12166e-8      43.6537
    3.49188e-8      42.0226
    3.90601e-8      40.5502
    4.36926e-8      39.2419
    4.88745e-8      38.0958
     5.4671e-8      37.1136
    6.11549e-8      36.3102
    6.84078e-8      35.7023
    7.65208e-8      35.3109
    8.50007e-8      35.1672
    8.58565e-8      35.1661
     9.5371e-8      35.3068
    1.05198e-7        35.72
    1.16037e-7       36.453
    1.26212e-7      37.4024
     1.3728e-7      38.7236
    1.47241e-7      40.1834
    1.56819e-7      41.8556
    1.67027e-7      43.9543
    1.76655e-7      46.2678
    1.85528e-7      48.7246
    1.93492e-7      51.2304
    2.01797e-7       54.191
    2.08995e-7      57.0835
     2.1644e-7       60.439
     2.2416e-7      64.3671
     2.3053e-7      68.0017
     2.3708e-7      72.1651
    2.43817e-7      76.9616
    2.48989e-7      81.0471
    2.54283e-7        85.64
    2.59676e-7      90.8002
    2.65198e-7       96.651
    2.70823e-7      103.285
    2.76581e-7      110.879
    2.80483e-7      116.548
     2.8444e-7      122.778
    2.88453e-7      129.642
    2.92523e-7      137.223
     2.9665e-7      145.615
    3.00835e-7      154.927
    3.05079e-7      165.284
    3.09383e-7      176.825
    3.13748e-7      189.707
    3.18175e-7      204.101
    3.22663e-7      220.191
    3.27216e-7      238.164
    3.31832e-7      258.199
    3.36514e-7      280.444
    3.41261e-7      304.981
    3.46076e-7      331.782
    3.50958e-7      360.645
    3.66023e-7       453.45
    3.71187e-7      482.625
    3.75105e-7      502.186
     3.7906e-7      518.814
    3.83071e-7      531.738
    3.85764e-7      537.869
    3.88476e-7      541.802
    3.91609e-7       543.42
    3.95112e-7       541.44
    3.97899e-7      537.039
    4.00687e-7       530.23
    4.03513e-7      521.018
    4.07773e-7      503.205
    4.12072e-7      481.216
    4.16432e-7       455.82
    4.23781e-7      408.867
    4.34308e-7      340.182
    4.38898e-7      311.812
    4.43531e-7      284.855
    4.48207e-7      259.611
     4.5295e-7      236.143
    4.56134e-7      221.594
     4.5934e-7      207.902
    4.62569e-7       195.05
    4.65821e-7      183.015
    4.69095e-7      171.766
    4.72393e-7      161.267
    4.75713e-7      151.477
    4.79057e-7      142.356
    4.82425e-7      133.863
    4.85816e-7      125.957
    4.89231e-7      118.597
     4.9267e-7      111.747
    4.96133e-7      105.368
    4.99621e-7      99.4274
    5.03133e-7      93.8918
    5.06669e-7      88.7314
    5.10231e-7      83.9179
    5.13818e-7      79.4253
    5.17429e-7      75.2293
    5.22885e-7       69.453
    5.28418e-7      64.2071
    5.34003e-7      59.4577
     5.3964e-7        55.15
     5.4533e-7      51.2358
      5.511e-7      47.6568
    5.56924e-7      44.3943
    5.62804e-7      41.4152
    5.68738e-7      38.6901
    5.74756e-7       36.182
     5.8083e-7      33.8811
    5.86962e-7      31.7669
    5.93151e-7      29.8211
    5.99427e-7      28.0196
    6.05762e-7      26.3572
    6.12157e-7      24.8209
    6.18611e-7      23.3992
    6.25157e-7      22.0757
    6.31764e-7      20.8482
    6.38433e-7      19.7081
    6.45165e-7      18.6479
    6.54267e-7      17.3434
    6.63498e-7      16.1541
    6.72858e-7      15.0679
    6.82351e-7       14.074
    6.91978e-7      13.1626
     7.0174e-7      12.3253
    7.11641e-7      11.5548
    7.21681e-7       10.845
    7.31862e-7      10.1903
    7.42188e-7       9.5856
    7.52659e-7      9.02642
    7.63277e-7      8.50866
    7.74046e-7      8.02867
    7.84966e-7      7.58317
    7.96041e-7       7.1692
    8.07271e-7      6.78412
     8.1866e-7      6.42552
     8.3021e-7      6.09124
    8.41923e-7      5.77932
    8.53801e-7      5.48798
    8.65847e-7      5.21562
    8.78062e-7      4.96076
    8.96731e-7      4.60803
    9.15752e-7       4.2886
    9.35223e-7      3.99769
    9.55061e-7      3.73339
    9.75367e-7      3.49119
    9.96056e-7      3.26993
    1.01723e-6      3.06673
    1.03881e-6      2.88067
     1.0609e-6      2.70946
     1.0834e-6       2.5527
    1.10644e-6      2.40817
    1.12991e-6      2.27507
    1.15393e-6      2.15172
    1.17841e-6      2.03791
    1.20346e-6      1.93233
    1.22899e-6      1.83473
    1.25512e-6      1.74399
    1.28174e-6      1.65993
    1.31816e-6      1.55684
    1.35562e-6      1.46315
    1.39414e-6      1.37785
    1.43376e-6      1.30007
     1.4745e-6      1.22902
     1.5164e-6      1.16405
    1.55949e-6      1.10474
     1.6038e-6      1.05036
    1.64937e-6      1.00017
     1.7082e-6     0.943021
    1.76905e-6     0.891576
    1.83215e-6     0.845079
    1.89741e-6     0.803132
    1.96509e-6     0.765168
    2.03509e-6      0.73091
    2.10768e-6     0.699935
    2.18275e-6     0.672055
    2.27645e-6     0.642301
    2.37416e-6     0.616619
    2.45885e-6     0.597614
    2.56439e-6     0.578004
    2.67447e-6       0.5618
    2.78927e-6     0.548895
      2.909e-6     0.540054
    3.01261e-6     0.535621
    3.09812e-6     0.534215
    3.20863e-6     0.536167
     3.2998e-6     0.540687
    3.39357e-6       0.5483
       3.49e-6      0.56019
    3.56403e-6     0.572397
    3.63981e-6     0.588101
    3.71701e-6     0.608009
    3.79604e-6     0.633265
     3.8496e-6     0.653714
    3.90391e-6     0.677696
    3.95899e-6     0.705907
    4.01484e-6     0.739233
    4.05722e-6     0.768226
        4.1e-6     0.801208
    4.14338e-6     0.839074
    4.18718e-6      0.88274
    4.23138e-6     0.933384
    4.27599e-6     0.992401
    4.30616e-6      1.03759
    4.33632e-6      1.08773
    4.36691e-6      1.14438
     4.3975e-6      1.20777
    4.42852e-6      1.28002
    4.45954e-6      1.36164
    4.48313e-6      1.43099
    4.50672e-6      1.50762
    4.53043e-6      1.59303
    4.55436e-6      1.68908
    4.57828e-6      1.79655
    4.60243e-6      1.91846
     4.6267e-6      2.05683
    4.64287e-6       2.1593
    4.65916e-6      2.27195
    4.67557e-6      2.39619
    4.69197e-6      2.53273
    4.70838e-6      2.68327
     4.7249e-6      2.85107
    4.74153e-6      3.03893
    4.75817e-6      3.24869
    4.77064e-6      3.42248
    4.78312e-6      3.61234
    4.79577e-6      3.82339
    4.80843e-6      4.05556
    4.82108e-6      4.31181
    4.83373e-6       4.5956
    4.84638e-6      4.91107
    4.85916e-6      5.26665
    4.87199e-6      5.66766
    4.88054e-6      5.96303
     4.8891e-6      6.28389
    4.89765e-6      6.63328
     4.9062e-6      7.01476
    4.91476e-6      7.43245
    4.92249e-6      7.84541
    4.92941e-6      8.24654
    4.93633e-6      8.68123
    4.94325e-6       9.1534
    4.95017e-6      9.66756
    4.95709e-6      10.2289
    4.96401e-6      10.8435
    4.97093e-6      11.5183
    4.97824e-6       12.306
    4.98402e-6        12.99
     4.9898e-6      13.7351
    4.99558e-6      14.5489
    5.00136e-6      15.4395
    5.00778e-6      16.5311
    5.01292e-6      17.4913
    5.01806e-6      18.5381
     5.0232e-6      19.6811
    5.02833e-6      20.9312
    5.03347e-6      22.3002
    5.03861e-6      23.8009
    5.04375e-6      25.4473
    5.04889e-6      27.2547
    5.05402e-6      29.2388
    5.05916e-6      31.4165
     5.0643e-6      33.8048
    5.06944e-6      36.4212
    5.07457e-6      39.2822
    5.07971e-6      42.4039
    5.08485e-6      45.8002
    5.08999e-6      49.4828
    5.09512e-6      53.4597
    5.10026e-6      57.7345
     5.1054e-6      62.3052
    5.11054e-6      67.1634
    5.11824e-6      74.9523
    5.12595e-6      83.2598
    5.13879e-6      97.8639
    5.15421e-6      115.438
    5.16191e-6      123.628
    5.16962e-6      131.027
    5.17681e-6      136.959
    5.18221e-6      140.656
    5.18657e-6      143.115
    5.19171e-6      145.344
    5.19662e-6      146.763
    5.20129e-6      147.445
    5.20363e-6      147.537
    5.20846e-6        147.2
    5.21432e-6      145.847
    5.21946e-6      143.836
    5.22485e-6      140.944
     5.2305e-6      137.125
    5.23795e-6      131.012
    5.24489e-6      124.411
    5.25182e-6      117.151
    5.26467e-6      102.692
    5.28008e-6      85.1023
    5.28779e-6      76.7214
    5.29549e-6       68.825
    5.30063e-6      63.8806
    5.30577e-6      59.2148
    5.31091e-6      54.8386
    5.31604e-6      50.7563
    5.32118e-6      46.9664
    5.32632e-6      43.4628
    5.33146e-6      40.2355
    5.33659e-6      37.2719
    5.34173e-6      34.5571
    5.34687e-6      32.0752
    5.35201e-6      29.8096
    5.35714e-6      27.7434
    5.36228e-6      25.8601
    5.36742e-6      24.1438
    5.37256e-6      22.5793
    5.37769e-6      21.1524
    5.38283e-6      19.8499
    5.38797e-6      18.6596
    5.39311e-6      17.5705
    5.39876e-6      16.4773
    5.40492e-6      15.3964
    5.41109e-6      14.4186
    5.41726e-6      13.5319
    5.42291e-6      12.7899
    5.43061e-6      11.8745
    5.43832e-6       11.056
    5.44603e-6      10.3215
    5.45373e-6      9.65976
    5.46144e-6      9.06156
    5.46914e-6      8.51894
    5.47685e-6      8.02519
    5.48456e-6      7.57456
    5.49226e-6      7.16211
    5.49997e-6      6.78361
    5.50768e-6      6.43539
    5.51538e-6      6.11427
    5.52309e-6      5.81748
    5.53283e-6      5.47346
    5.54257e-6      5.16024
    5.55231e-6      4.87423
    5.56205e-6      4.61234
    5.57179e-6      4.37193
    5.58153e-6      4.15069
    5.59614e-6       3.8505
    5.61089e-6      3.58094
     5.6257e-6      3.33915
    5.64052e-6      3.12242
    5.65534e-6      2.92739
    5.67015e-6      2.75125
    5.68504e-6      2.59093
    5.70007e-6      2.44396
    5.71509e-6      2.31014
    5.73012e-6      2.18793
    5.74013e-6      2.11225
    5.76017e-6      1.97326
    5.78048e-6      1.84715
     5.8008e-6      1.73394
    5.82112e-6      1.63191
    5.84143e-6      1.53965
    5.86203e-6      1.45485
    5.88264e-6      1.37781
    5.90324e-6      1.30762
    5.92384e-6      1.24349
    5.94474e-6      1.18394
    5.97608e-6      1.10365
    6.00742e-6      1.03267
     6.0392e-6       0.9688
    6.07098e-6     0.911912
    6.10292e-6     0.860805
    6.13515e-6     0.814527
    6.16738e-6     0.772873
    6.19991e-6      0.73491
     6.2217e-6     0.711517
    6.26528e-6      0.66903
    6.30948e-6     0.631037
    6.35368e-6     0.597421
     6.3985e-6      0.56714
    6.44332e-6     0.540098
    6.48877e-6     0.515494
    6.53422e-6      0.49337
    6.58031e-6     0.473153
    6.64978e-6     0.446294
    6.71989e-6     0.422879
      6.791e-6     0.402267
    6.86277e-6     0.384126
    6.93521e-6     0.368089
    7.00834e-6     0.353881
    7.10721e-6     0.337344
    7.20748e-6     0.322981
    7.30917e-6     0.310511
    7.41229e-6     0.299666
    7.51686e-6     0.290204
    7.62291e-6     0.281933
    7.78499e-6     0.271406
    7.95012e-6     0.262807
    8.11916e-6     0.255776
    8.29138e-6      0.25011
    8.46767e-6     0.245596
    8.70828e-6     0.241165
    8.95573e-6     0.238334
    9.21021e-6     0.236953
    9.35976e-6     0.236781
    9.62572e-6      0.23753
    9.89924e-6     0.239642
    1.01805e-5     0.243181
    1.04698e-5     0.248307
    1.06897e-5     0.253369
    1.08378e-5     0.257625
    1.09494e-5     0.261816
    1.10126e-5     0.265263
    1.10551e-5     0.268772
    1.10912e-5     0.273315
    1.11231e-5     0.279202
    1.11549e-5     0.287206
    1.12187e-5     0.306368
    1.12399e-5     0.311377
     1.1258e-5      0.31413
    1.12782e-5     0.315203
    1.12994e-5     0.314003
    1.13206e-5     0.310779
     1.1395e-5     0.294064
    1.14269e-5     0.288783
    1.14587e-5     0.285563
    1.14991e-5     0.283783
    1.15266e-5     0.283524
    1.15905e-5     0.284441
    1.17131e-5     0.288556
    1.19198e-5     0.297878
    1.21732e-5     0.311606
    1.24315e-5     0.328002
    1.26068e-5     0.340661
    1.27847e-5     0.354916
    1.29651e-5     0.371027
     1.3148e-5     0.389283
    1.33335e-5     0.410018
    1.35216e-5     0.433719
    1.37123e-5     0.461005
    1.38574e-5     0.484246
    1.40039e-5     0.510197
    1.41517e-5     0.539408
    1.43009e-5     0.572415
    1.44523e-5     0.610083
     1.4605e-5      0.65315
    1.47073e-5     0.685302
    1.48111e-5     0.721033
    1.49148e-5     0.760351
    1.50129e-5     0.801385
     1.5111e-5     0.846892
    1.52066e-5       0.8966
    1.52783e-5     0.938619
    1.53473e-5     0.985433
