#ZVView-data-copy:  31-Jul-2018 04:57:46
#=======================================
#
#name:   TENDL-2017: XE-125(N,INL)XE-125
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  105
#data...
#            X            Y
#          MeV        barns
      0.112693            0
           0.2     0.312817
       0.25465     0.358479
      0.267715     0.370142
      0.298279     0.414925
           0.3     0.421162
      0.313058     0.430264
      0.338078     0.447717
           0.4     0.557341
      0.474914     0.613118
      0.487626     0.651317
           0.5     0.695827
      0.501003     0.696261
      0.530621     0.726921
      0.544492     0.756511
      0.598887     0.935872
           0.6     0.941345
      0.601589     0.943917
      0.612698       0.9607
           0.7      1.10436
      0.714111      1.10592
      0.716923      1.10785
        0.7428      1.14087
      0.747407      1.14675
      0.768476      1.17768
      0.771843      1.18403
           0.8      1.25327
      0.803063       1.2564
      0.844102      1.29869
      0.877651      1.33364
      0.894123       1.3508
      0.896522       1.3534
           0.9      1.35912
      0.900725      1.35952
      0.903266       1.3606
      0.927278      1.37501
      0.940292      1.38286
      0.953881      1.39415
             1      1.45757
           1.2      1.62912
           1.4      1.75631
           1.6      1.84446
           1.8      1.90455
             2      1.94659
           2.2      1.98013
           2.4      2.01091
           2.6      2.04428
           2.8      2.08102
             3      2.12096
           3.2      2.16284
           3.4      2.20215
           3.6      2.23782
           3.8      2.26647
             4       2.2874
           4.2      2.30074
           4.4      2.30579
           4.6      2.30403
           4.8      2.29668
             5      2.28418
           5.2      2.26656
           5.4      2.25001
           5.6      2.22979
           5.8      2.21025
             6      2.19131
           6.2      2.17279
           6.4      2.15541
           6.6      2.13831
           6.8      2.12588
             7      2.11424
           7.2      2.10344
           7.4      2.09619
           7.6      2.08969
           7.8      2.07684
             8      2.06036
           8.5      1.93749
             9      1.74065
           9.5      1.50902
            10      1.30564
          10.5      1.12914
            11     0.988104
          11.5     0.875959
            12      0.78426
          12.5     0.707432
            13     0.643845
          13.5     0.589883
            14     0.546003
          14.5     0.509961
            15     0.478994
            16     0.433876
            17      0.40287
            18     0.380323
            19     0.363057
            20     0.351403
            21     0.336828
            22     0.323241
            23     0.310969
            24     0.299114
            25     0.289165
            26     0.279711
            27     0.271712
            28     0.264784
            29     0.257385
            30     0.250375
            30            0
           200            0
//
#-------------------------------------------------------------------------------
