#ZVView-data-copy:  31-Jul-2018 04:56:47
#=======================================
#
#name:   TENDL-2017: XE-125(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  7201
#data...
#            X            Y
#          MeV        barns
         1e-11      2141.14
   1.10304e-11      2038.74
   1.21669e-11      1941.24
   1.34206e-11      1848.41
   1.48034e-11      1760.02
   1.63287e-11      1675.87
   1.64439e-11      1670.37
   1.80111e-11      1595.75
   1.82652e-11      1585.29
   1.98669e-11      1519.47
   2.02894e-11      1504.45
   2.19139e-11      1446.84
   2.25366e-11      1427.74
   2.41719e-11      1377.68
   2.50342e-11      1354.86
   2.66625e-11      1311.84
    2.7807e-11       1285.7
   2.94097e-11      1249.15
   3.08885e-11         1220
     3.244e-11      1189.47
   3.43098e-11      1157.66
   3.57825e-11      1132.65
    3.8112e-11      1098.44
   3.94694e-11      1078.55
   4.23333e-11      1042.25
   4.35362e-11      1027.04
   4.70247e-11      988.886
   4.80221e-11      977.998
   5.22332e-11      938.253
   5.29701e-11       931.31
   5.80216e-11      890.165
    5.8428e-11      886.862
   6.44483e-11      844.545
   7.10888e-11      804.264
   7.15903e-11      801.633
   7.84136e-11      765.916
   7.95198e-11      760.908
   8.64931e-11       729.41
   8.77133e-11      724.644
   8.89508e-11      719.811
   9.54051e-11      694.656
    9.8116e-11       685.52
   9.95003e-11      680.855
   1.05235e-10      661.569
   1.09752e-10      648.435
   1.11301e-10      643.933
   1.16078e-10      630.071
   1.22769e-10      613.288
   1.24501e-10      608.943
   1.28039e-10      600.086
   1.37329e-10      579.979
   1.39267e-10      575.786
   1.41231e-10      571.542
   1.53616e-10      548.418
   1.55784e-10      544.372
   1.56883e-10      542.597
   1.71835e-10      518.514
   1.76718e-10      511.715
    1.8954e-10      493.899
   1.92215e-10      490.687
   1.99071e-10      482.451
    2.0907e-10      470.467
   2.18044e-10       461.17
   2.25822e-10      453.112
   2.30612e-10      448.161
   2.47345e-10       433.21
   2.54374e-10       426.93
   2.56169e-10      425.544
   2.80584e-10       406.73
   2.92627e-10      398.709
   3.09494e-10        387.5
   3.18288e-10      382.449
   3.34293e-10      373.258
   3.41383e-10      369.194
   3.66154e-10      356.928
   3.76558e-10      351.775
   3.84565e-10      348.349
   4.15358e-10        335.2
   4.21218e-10      333.038
   4.45496e-10      324.081
   4.58155e-10       319.42
   4.91398e-10      308.846
   5.05362e-10      304.405
   5.19722e-10      300.459
   5.57433e-10      290.118
   5.73273e-10      286.366
   6.10592e-10      277.526
   6.14869e-10      276.515
   6.78223e-10       263.58
   7.27435e-10      254.901
   7.48105e-10      251.263
   8.13708e-10      241.292
   8.25188e-10      239.548
   8.78907e-10      232.496
   9.10213e-10      228.396
   9.90031e-10      219.368
      1.004e-9      217.788
    1.07685e-9      210.673
    1.10745e-9      207.691
    1.22155e-9      198.089
    1.34742e-9      188.946
    1.48625e-9      180.257
    1.55005e-9      176.811
    1.63939e-9      171.985
    1.73389e-9       167.58
    1.80831e-9      164.117
    1.99463e-9      156.636
    2.02277e-9      155.661
    2.20016e-9      149.516
     2.2946e-9      146.692
    2.42685e-9      142.747
    2.67691e-9      136.312
    2.75297e-9      134.624
    2.95273e-9       130.19
    3.18932e-9      125.661
    3.25697e-9      124.368
    3.59256e-9      118.841
    3.96272e-9      113.585
    4.37103e-9      108.588
    4.72126e-9      104.894
    4.82141e-9       103.84
    5.31819e-9      99.3369
    5.86616e-9      95.0599
    6.11796e-9      93.3774
    6.47059e-9      91.0213
    6.51624e-9      90.7163
     7.1373e-9      87.1836
      7.238e-9      86.6108
    7.65518e-9      84.5912
    7.87271e-9      83.5404
     8.0401e-9      82.7318
    8.68389e-9      80.0863
    8.93064e-9      79.0723
    9.57865e-9      76.8081
    9.92032e-9      75.6143
    1.05656e-8      73.6986
    1.07147e-8      73.2561
    1.10191e-8      72.3522
    1.16543e-8      70.7522
    1.22402e-8       69.276
    1.28551e-8      67.9634
     1.3596e-8      66.3816
    1.41796e-8      65.3264
    1.44811e-8      64.7813
    1.51027e-8      63.6595
    1.56406e-8      62.8381
    1.67755e-8      61.1051
    1.72522e-8        60.49
    1.86345e-8      58.7064
    1.90298e-8      58.2766
    2.06986e-8      56.4619
    2.09906e-8      56.1951
    2.29923e-8      54.3664
    2.31534e-8       54.242
    2.34801e-8      53.9897
    2.51838e-8      52.6736
    2.52419e-8      52.6287
       2.53e-8      52.5874
    2.81037e-8      50.7733
    3.12166e-8         49.1
     3.4433e-8      47.6804
    3.49188e-8       47.466
    3.79809e-8       46.375
    3.90601e-8      45.9904
    4.18943e-8      45.1878
    4.36926e-8      44.6785
     4.6211e-8      44.1195
    4.88745e-8      43.5284
    5.09724e-8      43.1713
     5.4671e-8      42.5417
    5.62245e-8      42.3481
    6.11549e-8      41.7334
    6.20177e-8      41.6604
    6.84078e-8        41.12
    7.54563e-8      40.7746
    7.65208e-8      40.7224
    8.38182e-8      40.5932
    8.50007e-8      40.5722
    8.58565e-8      40.5705
    9.24546e-8       40.663
     9.5371e-8      40.7039
    9.98577e-8      40.8892
    1.02695e-7      41.0063
    1.05198e-7      41.1097
    1.13277e-7      41.6499
    1.16037e-7      41.8345
    1.24948e-7      42.6592
    1.26212e-7      42.7762
     1.3728e-7      44.0891
    1.39767e-7      44.4516
    1.47241e-7      45.5414
    1.53096e-7      46.5591
    1.56819e-7      47.2063
    1.67027e-7      49.2973
    1.70053e-7      50.0221
    1.76655e-7      51.6036
    1.79855e-7      52.4872
    1.85528e-7      54.0506
    1.87575e-7       54.692
    1.93492e-7      56.5461
    2.01797e-7       59.496
    2.05463e-7      60.9642
    2.08995e-7      62.3791
     2.1644e-7       65.725
     2.2416e-7      69.6431
     2.3053e-7      73.2695
     2.3144e-7      73.8472
     2.3708e-7      77.4244
    2.43817e-7      82.2122
     2.4478e-7      82.9719
    2.48989e-7       86.288
    2.51736e-7      88.6656
    2.54283e-7      90.8701
    2.59676e-7      96.0194
    2.65198e-7      101.859
    2.70823e-7      108.481
    2.76581e-7      116.064
    2.80483e-7      121.725
    2.83578e-7      126.591
     2.8444e-7      127.947
    2.88453e-7      134.803
    2.92523e-7      142.375
     2.9665e-7      150.759
    3.00835e-7      160.063
    3.04154e-7      168.156
    3.05079e-7      170.412
    3.09383e-7      181.945
    3.13748e-7       194.82
     3.1721e-7       206.07
    3.18175e-7      209.206
    3.22663e-7      225.288
    3.27216e-7      243.253
    3.30826e-7      258.915
    3.31832e-7      263.282
    3.35493e-7      280.676
    3.36514e-7      285.526
    3.41261e-7       310.07
    3.42609e-7      317.577
    3.46076e-7      336.877
    3.48672e-7      352.226
    3.50958e-7      365.754
    3.58579e-7      412.738
    3.66023e-7      458.655
    3.66185e-7      459.573
    3.71187e-7      487.889
    3.73971e-7      501.819
    3.75105e-7      507.498
     3.7906e-7      524.186
    3.83071e-7      537.169
    3.84598e-7      540.668
    3.85764e-7      543.343
    3.88476e-7      547.323
    3.91609e-7      548.992
    3.94132e-7      547.609
    3.95112e-7      547.071
    3.97899e-7      542.717
    4.00687e-7      535.956
    4.03202e-7        527.8
    4.03513e-7      526.791
    4.07773e-7      509.037
    4.11755e-7      488.729
    4.12072e-7      487.108
    4.16432e-7      461.758
    4.20509e-7      435.753
    4.23781e-7      414.869
    4.29429e-7      378.055
    4.34308e-7      346.235
    4.34743e-7      343.547
    4.38898e-7      317.879
    4.40894e-7      306.269
    4.43531e-7      290.928
    4.47114e-7      271.587
    4.48207e-7      265.685
     4.5295e-7      242.209
    4.56134e-7      227.655
     4.5934e-7      213.958
    4.62569e-7      201.102
    4.65821e-7      189.062
    4.66306e-7      187.393
    4.69095e-7      177.805
    4.72393e-7      167.298
    4.75713e-7      157.499
    4.76202e-7      156.167
    4.79057e-7      148.371
    4.82425e-7      139.869
    4.85816e-7      131.955
    4.89231e-7      124.587
     4.9267e-7      117.728
    4.96133e-7       111.34
    4.99621e-7      105.391
    5.03133e-7      99.8467
    5.06669e-7      94.6776
    5.10231e-7      89.8552
    5.13818e-7      85.3538
