#ZVView-data-copy:  31-Jul-2018 05:05:00
#=======================================
#
#name:   ENDF/B-VIII.0: XE-126(N,G)XE-127
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  1974
#data...
#            X            Y
          MeV        barns
         1e-11      174.978
   1.10304e-11      166.605
   1.21669e-11      158.633
   1.34206e-11      151.042
   1.48034e-11      143.814
   1.63287e-11      136.933
   1.80111e-11       130.38
   1.98669e-11      124.142
   2.19139e-11      118.201
   2.41719e-11      112.545
   2.66625e-11       107.16
   2.94097e-11      102.032
     3.244e-11        97.15
   3.57825e-11      92.5013
   3.94694e-11      88.0751
   4.35362e-11      83.8606
   4.80221e-11      79.8478
   5.29701e-11      76.0271
    5.8428e-11      72.3892
   6.44483e-11      68.9253
   7.10888e-11      65.6272
   7.84136e-11      62.4869
   8.64931e-11      59.4969
   9.54051e-11        56.65
   1.05235e-10      53.9393
   1.16078e-10      51.3583
   1.28039e-10      48.9008
   1.41231e-10      46.5609
   1.55784e-10       44.333
   1.71835e-10      42.2117
    1.8954e-10      40.1919
    2.0907e-10      38.2687
   2.30612e-10      36.4376
   2.54374e-10      34.6941
   2.80584e-10       33.034
   3.09494e-10      31.4534
   3.41383e-10      29.9484
   3.76558e-10      28.5154
   4.15358e-10       27.151
   4.58155e-10      25.8519
   5.05362e-10       24.615
   5.57433e-10      23.4373
   6.14869e-10      22.3159
   6.78223e-10      21.2482
   7.48105e-10      20.2315
   8.25188e-10      19.2636
   9.10213e-10      18.3419
      1.004e-9      17.4644
    1.10745e-9      16.6289
    1.22155e-9      15.8333
    1.34742e-9      15.0758
    1.48625e-9      14.3546
    1.63939e-9      13.6679
    1.80831e-9      13.0141
    1.99463e-9      12.3916
    2.20016e-9      11.7988
    2.42685e-9      11.2345
    2.67691e-9      10.6971
    2.95273e-9      10.1855
    3.25697e-9      9.69837
    3.59256e-9      9.23457
    3.96272e-9      8.79299
    4.37103e-9      8.37258
    4.82141e-9      7.97233
    5.31819e-9      7.59131
    5.86616e-9      7.22863
    6.47059e-9      6.88341
     7.1373e-9       6.5548
    7.87271e-9      6.24195
    8.68389e-9        5.944
    9.57865e-9      5.66017
    1.05656e-8      5.38978
    1.16543e-8      5.13226
    1.28551e-8      4.88714
    1.41796e-8      4.65392
    1.56406e-8      4.43198
    1.72522e-8      4.22067
    1.90298e-8      4.01936
    2.09906e-8      3.82763
    2.31534e-8      3.64521
    2.52419e-8      3.49194
       2.53e-8      3.48794
    2.79068e-8      3.32192
    3.07823e-8      3.16368
     3.3954e-8      3.01294
    3.74525e-8      2.86946
    4.13115e-8      2.73294
    4.55681e-8      2.60311
    5.02633e-8       2.4798
    5.54423e-8      2.36252
    6.11549e-8      2.25061
    6.74561e-8      2.14403
    7.44066e-8      2.04261
    8.20732e-8      1.94608
    9.05297e-8      1.85425
    9.98577e-8      1.76691
    1.10147e-7      1.68402
    1.22353e-7      1.59994
    1.35905e-7      1.51986
    1.49908e-7      1.44884
    1.65354e-7      1.38136
    1.82392e-7      1.31723
    2.01185e-7      1.25631
    2.21915e-7      1.19848
    2.46507e-7       1.1401
    2.71906e-7      1.08804
