#ZVView-data-copy:  31-Jul-2018 05:02:50
#=======================================
#
#name:   TENDL-2017: XE-126(N,NON)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  27303
#data...
#            X            Y
#          MeV        barns
         1e-11      174.895
   1.10304e-11      166.526
   1.21669e-11      158.558
   1.34206e-11      150.971
   1.48034e-11      143.747
   1.63287e-11      136.868
   1.80111e-11      130.319
   1.98669e-11      124.083
   2.19139e-11      118.146
   2.41719e-11      112.492
   2.66625e-11       107.11
   2.94097e-11      101.984
     3.244e-11      97.1043
   3.57825e-11      92.4578
   3.94694e-11      88.0337
   4.35362e-11      83.8212
   4.80221e-11      79.8103
   5.29701e-11      75.9914
    5.8428e-11      72.3551
   6.44483e-11      68.8929
   7.10888e-11      65.5964
   7.84136e-11      62.4576
   8.64931e-11       59.469
   8.77133e-11      59.0793
   9.54051e-11      56.6234
    9.8116e-11      55.8762
   1.05235e-10      53.9139
   1.09752e-10      52.8392
   1.16078e-10      51.3341
   1.22769e-10      49.9601
   1.28039e-10      48.8778
   1.37329e-10      47.2308
   1.41231e-10       46.539
   1.53616e-10      44.6438
   1.55784e-10      44.3121
   1.71835e-10      42.1918
    1.8954e-10       40.173
   1.92215e-10      39.9098
    2.0907e-10      38.2507
   2.18044e-10      37.4882
   2.30612e-10      36.4205
   2.47345e-10      35.1932
   2.54374e-10      34.6778
   2.80584e-10      33.0185
   3.09494e-10      31.4386
   3.18288e-10      31.0237
   3.41383e-10      29.9343
   3.66154e-10      28.9257
   3.76558e-10       28.502
   4.15358e-10      27.1383
   4.21218e-10      26.9605
   4.58155e-10      25.8398
   4.91398e-10      24.9691
   5.05362e-10      24.6034
   5.57433e-10      23.4262
   5.73273e-10      23.1171
   6.14869e-10      22.3054
   6.78223e-10      21.2381
   7.48105e-10       20.222
   8.13708e-10      19.3986
   8.25188e-10      19.2545
   9.10213e-10      18.3333
   9.90031e-10      17.5868
      1.004e-9      17.4561
    1.10745e-9       16.621
    1.22155e-9      15.8258
    1.34742e-9      15.0687
    1.48625e-9      14.3478
    1.55005e-9      14.0619
    1.63939e-9      13.6614
    1.80831e-9      13.0079
    1.99463e-9      12.3857
    2.02277e-9      12.3045
    2.20016e-9      11.7932
    2.42685e-9      11.2291
    2.67691e-9       10.692
    2.75297e-9       10.551
    2.95273e-9      10.1806
    3.25697e-9      9.69373
    3.59256e-9      9.23014
    3.96272e-9      8.78877
    4.37103e-9      8.36854
    4.82141e-9      7.96848
    5.31819e-9      7.58763
    5.86616e-9      7.22511
    6.11796e-9      7.08136
    6.47059e-9      6.88005
     7.1373e-9      6.55159
    7.87271e-9      6.23888
    8.68389e-9      5.94107
    9.57865e-9      5.65736
    1.05656e-8      5.38708
    1.07147e-8      5.35184
    1.16543e-8      5.12968
    1.28551e-8      4.88466
    1.41796e-8      4.65154
    1.56406e-8       4.4297
    1.72522e-8      4.21848
    1.90298e-8      4.01725
    2.09906e-8      3.82561
    2.31534e-8      3.64326
    2.34801e-8      3.61929
    2.51838e-8      3.49431
    2.52419e-8      3.49005
       2.53e-8      3.48606
    2.79068e-8       3.3201
    2.81037e-8      3.30927
    3.07823e-8      3.16192
    3.12166e-8      3.14129
     3.3954e-8      3.01124
     3.4433e-8       2.9916
    3.74525e-8      2.86781
    3.79809e-8      2.84912
    4.13115e-8      2.73133
    4.18943e-8      2.71356
    4.55681e-8      2.60155
     4.6211e-8      2.58467
    5.02633e-8      2.47828
    5.09724e-8      2.46222
    5.54423e-8      2.36104
    5.66211e-8      2.33795
    6.11549e-8      2.24916
    6.24551e-8      2.22718
    6.74561e-8      2.14261
