#ZVView-data-copy:   1-Aug-2018 22:17:11
#=======================================
#
#name:   ENDF/B-VIII.0: XE-129(N,N`)XE-129-L10
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  103
#data...
#            X            Y
#          MeV        barns
      0.670607            0
           0.7    0.0184488
      0.718534    0.0223363
      0.743607    0.0274387
      0.765794    0.0318122
      0.777134    0.0339989
           0.8    0.0372904
      0.829641    0.0411208
      0.874792    0.0462122
           0.9    0.0477645
      0.953402    0.0519973
             1    0.0555625
       1.05737    0.0586969
       1.14966    0.0633984
          1.25       0.0681
       1.43316     0.071574
           1.5     0.072732
          1.75    0.0706401
       1.93434    0.0655321
             2    0.0638295
       2.15115    0.0572747
       2.28641    0.0517886
        2.4367    0.0460609
       2.56674    0.0413833
       2.71378    0.0363716
        2.8533     0.031861
             3    0.0273505
       3.15916    0.0238435
       3.29884    0.0209082
       3.45126    0.0178438
       3.58095    0.0153411
       3.72532    0.0126597
       3.86022    0.0102464
       3.96459   0.00843645
             4   0.00783313
       4.16364   0.00675286
       4.30574   0.00584873
        4.4697   0.00484185
       4.59675   0.00408669
       4.73156   0.00330794
       4.82574   0.00277697
       4.94122    0.0021398
             5   0.00182122
       5.16652   0.00156171
       5.31014   0.00134451
       5.47479   0.00110263
       5.60162  0.000921218
       5.74076  0.000726849
       5.86895  0.000551918
       5.96697  0.000420719
             6  0.000376986
       6.22074  0.000305961
       6.40702  0.000247958
       6.55038  0.000204456
       6.70754  0.000157846
       6.85221  0.000115897
       6.96276    8.4435e-5
             7   7.39478e-5
       7.23762   5.86913e-5
       7.42112   4.72489e-5
       7.61523   3.54489e-5
       7.75047   2.74035e-5
       7.87425   2.01626e-5
             8   1.29217e-5
       8.23907   1.01715e-5
       8.42305   8.10883e-6
       8.61708   5.98172e-6
       8.75193   4.53141e-6
        8.8751   3.22614e-6
             9   1.92086e-6
       9.24021   1.51708e-6
       9.49465   1.10068e-6
       9.67213   8.16768e-7
        9.8347   5.61249e-7
       9.95842   3.69611e-7
            10   3.05731e-7
        10.333   2.52926e-7
       10.6203    2.0873e-7
       10.9287   1.62588e-7
       11.1872   1.24905e-7
       11.3851   9.66431e-8
        11.601   6.63625e-8
       11.7739   4.25164e-8
       11.8864   2.71869e-8
            12   1.18573e-8
        12.337   9.85552e-9
       12.6264   8.18011e-9
       12.9566   6.31432e-9
       13.2099   4.91497e-9
       13.4868   3.41568e-9
        13.709   2.23498e-9
       13.8537   1.47596e-9
            14  7.16942e-10
        14.336  5.40907e-10
       14.5697  4.20884e-10
       14.7833  3.12862e-10
            15  2.04841e-10
       15.3365  1.55861e-10
       15.5702  1.22466e-10
       15.8554  8.23923e-11
            16  6.23552e-11
            18  6.45165e-12
            20  6.77165e-13
//
#-------------------------------------------------------------------------------
