#ZVView-data-copy:  31-Jul-2018 05:24:34
#=======================================
#
#name:   JENDL-4.0: XE-130(N,G)XE-131
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5430
#data...
#            X            Y
#          MeV        barns
         1e-11      241.946
   1.10304e-11      230.369
   1.21669e-11      219.345
   1.34206e-11      208.849
   1.48034e-11      198.856
   1.63287e-11       189.34
   1.80111e-11       180.28
   1.98669e-11      171.654
   2.19139e-11       163.44
   2.41719e-11      155.619
   2.66625e-11      148.173
   2.94097e-11      141.083
     3.244e-11      134.332
   3.57825e-11      127.904
   3.94694e-11      121.783
   4.35362e-11      115.956
   4.80221e-11      110.407
   5.29701e-11      105.124
    5.8428e-11      100.094
   6.44483e-11      95.3044
   7.10888e-11       90.744
   7.84136e-11      86.4018
   8.64931e-11      82.2674
   9.54051e-11      78.3308
   1.05235e-10      74.5826
   1.16078e-10      71.0138
   1.28039e-10      67.6157
   1.41231e-10      64.3802
   1.55784e-10      61.2996
   1.71835e-10      58.3664
    1.8954e-10      55.5735
    2.0907e-10      52.9142
   2.30612e-10      50.3822
   2.54374e-10      47.9714
   2.80584e-10      45.6759
   3.09494e-10      43.4903
   3.41383e-10      41.4092
   3.76558e-10      39.4278
   4.15358e-10      37.5411
   4.58155e-10      35.7447
   5.05362e-10      34.0343
   5.57433e-10      32.4058
   6.14869e-10      30.8551
   6.78223e-10      29.3787
   7.48105e-10      27.9729
   8.25188e-10      26.6343
   9.10213e-10      25.3599
      1.004e-9      24.1464
    1.10745e-9      22.9909
    1.22155e-9      21.8908
    1.34742e-9      20.8433
    1.48625e-9      19.8459
    1.63939e-9      18.8963
    1.80831e-9      17.9921
    1.99463e-9      17.1311
    2.20016e-9      16.3114
    2.42685e-9      15.5309
    2.67691e-9      14.7877
    2.95273e-9      14.0801
    3.25697e-9      13.4064
    3.59256e-9      12.7649
    3.96272e-9      12.1541
    4.37103e-9      11.5725
    4.82141e-9      11.0189
    5.31819e-9      10.4918
    5.86616e-9      9.99004
