#rp054131.L02         Number of runs:     20
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-11 9.80485E+03 8.29551E+03 1.13142E+04
 2.53000E-08 1.94930E+02 1.64923E+02 2.24937E+02
 1.00000E-06 3.10056E+01 2.62327E+01 3.57785E+01
 1.00000E-05 9.80485E+00 8.29551E+00 1.13142E+01
 4.60000E-05 4.57152E+00 3.86780E+00 5.27525E+00
 1.00000E-04 2.08842E+01 1.83927E+01 2.33757E+01
 2.00000E-04 8.14322E+01 6.78982E+01 9.49662E+01
 2.30000E-04 1.07193E+02 8.80859E+01 1.26299E+02
 3.00000E-04 8.68852E+01 7.28172E+01 1.00953E+02
 6.00000E-04 5.29940E+01 4.51458E+01 6.08422E+01
 1.00000E-03 3.94242E+01 3.12103E+01 4.76381E+01
 2.00000E-03 2.91729E+01 2.04536E+01 3.78923E+01
 3.00000E-03 2.54051E+01 1.76506E+01 3.31596E+01
 6.00000E-03 2.02888E+01 1.54573E+01 2.51202E+01
 1.00000E-02 1.67829E+01 1.39115E+01 1.96543E+01
 2.00000E-02 1.24557E+01 1.11103E+01 1.38012E+01
 3.00000E-02 1.05390E+01 9.59929E+00 1.14787E+01
 6.00000E-02 8.97062E+00 7.98288E+00 9.95837E+00
 1.00000E-01 9.07079E+00 7.87526E+00 1.02663E+01
 2.00000E-01 1.01560E+01 9.36388E+00 1.09482E+01
 3.00000E-01 1.15174E+01 1.07977E+01 1.22372E+01
 4.00000E-01 1.31121E+01 1.21659E+01 1.40584E+01
 5.00000E-01 1.49167E+01 1.37745E+01 1.60590E+01
 6.00000E-01 9.53966E+00 8.16413E+00 1.09152E+01
 7.00000E-01 8.69993E+00 7.15674E+00 1.02431E+01
 8.00000E-01 8.99323E+00 7.29895E+00 1.06875E+01
 9.00000E-01 9.61192E+00 7.75830E+00 1.14655E+01
 1.00000E+00 1.04364E+01 8.40322E+00 1.24697E+01
 1.20000E+00 1.11996E+01 8.88201E+00 1.35171E+01
 1.40000E+00 8.70528E+00 6.66254E+00 1.07480E+01
 1.60000E+00 9.47197E+00 7.25452E+00 1.16894E+01
 1.80000E+00 9.44979E+00 7.15737E+00 1.17422E+01
 2.00000E+00 9.50706E+00 7.14551E+00 1.18686E+01
 2.20000E+00 9.32021E+00 6.72306E+00 1.19174E+01
 2.40000E+00 8.66644E+00 6.06459E+00 1.12683E+01
 2.60000E+00 8.32695E+00 5.69753E+00 1.09564E+01
 2.80000E+00 7.65197E+00 4.98086E+00 1.03231E+01
 3.00000E+00 6.73704E+00 4.11880E+00 9.35527E+00
 3.20000E+00 5.87436E+00 3.39367E+00 8.35505E+00
 3.40000E+00 5.07977E+00 2.80743E+00 7.35212E+00
 3.60000E+00 4.45810E+00 2.37341E+00 6.54278E+00
 3.80000E+00 3.83284E+00 1.98574E+00 5.67994E+00
 4.00000E+00 3.34862E+00 1.69989E+00 4.99734E+00
 4.20000E+00 2.94362E+00 1.46974E+00 4.41750E+00
 4.40000E+00 2.54910E+00 1.26013E+00 3.83807E+00
 4.60000E+00 2.25066E+00 1.09938E+00 3.40193E+00
 4.80000E+00 2.00482E+00 9.73107E-01 3.03652E+00
 5.00000E+00 1.75898E+00 8.49145E-01 2.66881E+00
 5.20000E+00 1.58450E+00 7.61972E-01 2.40703E+00
 5.40000E+00 1.43685E+00 6.87590E-01 2.18611E+00
 5.60000E+00 1.27218E+00 6.03795E-01 1.94057E+00
 5.80000E+00 1.17543E+00 5.61674E-01 1.78918E+00
 6.00000E+00 1.08658E+00 5.17101E-01 1.65606E+00
 6.20000E+00 1.00361E+00 4.78178E-01 1.52905E+00
 6.40000E+00 9.32561E-01 4.46796E-01 1.41833E+00
 6.60000E+00 8.62185E-01 4.09002E-01 1.31537E+00
 6.80000E+00 8.37221E-01 3.99347E-01 1.27510E+00
 7.00000E+00 7.94081E-01 3.78273E-01 1.20989E+00
 7.20000E+00 7.58504E-01 3.59652E-01 1.15736E+00
 7.40000E+00 7.45966E-01 3.51521E-01 1.14041E+00
 7.60000E+00 7.08707E-01 3.28007E-01 1.08941E+00
 7.80000E+00 7.10313E-01 3.26004E-01 1.09462E+00
 8.00000E+00 6.99378E-01 3.14280E-01 1.08448E+00
 8.50000E+00 6.96578E-01 2.96183E-01 1.09697E+00
 9.00000E+00 7.02096E-01 2.81486E-01 1.12271E+00
 9.50000E+00 7.24299E-01 2.76743E-01 1.17185E+00
 1.00000E+01 7.47116E-01 2.74421E-01 1.21981E+00
 1.05000E+01 7.75600E-01 2.77791E-01 1.27341E+00
 1.10000E+01 8.01585E-01 2.82025E-01 1.32115E+00
 1.15000E+01 8.27832E-01 2.88826E-01 1.36684E+00
 1.20000E+01 8.51658E-01 2.96889E-01 1.40643E+00
 1.25000E+01 8.70536E-01 3.06860E-01 1.43421E+00
 1.30000E+01 8.85703E-01 3.18231E-01 1.45318E+00
 1.35000E+01 8.93288E-01 3.30817E-01 1.45576E+00
 1.40000E+01 8.92016E-01 3.43968E-01 1.44006E+00
 1.45000E+01 8.76692E-01 3.52758E-01 1.40063E+00
 1.50000E+01 8.56532E-01 3.58088E-01 1.35498E+00
 1.60000E+01 8.08543E-01 3.42684E-01 1.27440E+00
 1.70000E+01 7.43089E-01 2.91807E-01 1.19437E+00
 1.80000E+01 6.76662E-01 2.17345E-01 1.13598E+00
 1.90000E+01 6.11033E-01 1.48126E-01 1.07394E+00
 2.00000E+01 5.57960E-01 9.45884E-02 1.02133E+00
 2.10000E+01 5.03768E-01 5.88663E-02 9.48669E-01
 2.20000E+01 4.61257E-01 3.40095E-02 8.88505E-01
 2.30000E+01 4.24715E-01 1.43666E-02 8.35063E-01
 2.40000E+01 3.93530E-01 2.33343E-03 7.84726E-01
 2.50000E+01 3.68333E-01 0.00000E+00 7.36667E-01
 2.60000E+01 3.45956E-01 0.00000E+00 6.91912E-01
 2.70000E+01 3.26452E-01 0.00000E+00 6.52903E-01
 2.80000E+01 3.10534E-01 0.00000E+00 6.21067E-01
 2.90000E+01 2.96321E-01 0.00000E+00 5.92641E-01
 3.00000E+01 2.83454E-01 0.00000E+00 5.66909E-01
 3.20000E+01 2.63897E-01 0.00000E+00 5.27794E-01
 3.40000E+01 2.46415E-01 0.00000E+00 4.92830E-01
 3.60000E+01 2.27059E-01 0.00000E+00 4.54118E-01
 3.80000E+01 2.15918E-01 0.00000E+00 4.31836E-01
 4.00000E+01 2.07375E-01 0.00000E+00 4.14750E-01
 4.20000E+01 1.98360E-01 0.00000E+00 3.96719E-01
 4.40000E+01 1.90318E-01 0.00000E+00 3.80636E-01
 4.60000E+01 1.85174E-01 0.00000E+00 3.70348E-01
 4.80000E+01 1.79216E-01 0.00000E+00 3.58433E-01
 5.00000E+01 1.71584E-01 0.00000E+00 3.43168E-01
 5.20000E+01 1.61387E-01 0.00000E+00 3.22773E-01
 5.40000E+01 1.58027E-01 0.00000E+00 3.16054E-01
 5.60000E+01 1.55839E-01 0.00000E+00 3.11677E-01
 5.80000E+01 1.52661E-01 0.00000E+00 3.05323E-01
 6.00000E+01 1.47316E-01 0.00000E+00 2.94631E-01
 6.50000E+01 1.32081E-01 0.00000E+00 2.64161E-01
 7.00000E+01 1.25799E-01 0.00000E+00 2.51598E-01
 7.50000E+01 1.23197E-01 0.00000E+00 2.46395E-01
 8.00000E+01 1.16043E-01 0.00000E+00 2.32086E-01
 9.00000E+01 8.82034E-02 0.00000E+00 1.76407E-01
 1.00000E+02 7.96444E-02 0.00000E+00 1.59289E-01
 1.10000E+02 7.84714E-02 0.00000E+00 1.56943E-01
 1.20000E+02 7.20030E-02 0.00000E+00 1.44006E-01
 1.30000E+02 6.13479E-02 0.00000E+00 1.22696E-01
 1.40000E+02 5.01932E-02 0.00000E+00 1.00386E-01
 1.50000E+02 3.78407E-02 0.00000E+00 7.56814E-02
 1.60000E+02 2.85378E-02 0.00000E+00 5.70757E-02
 1.80000E+02 2.17212E-02 0.00000E+00 4.34425E-02
 2.00000E+02 1.66275E-02 0.00000E+00 3.32550E-02
