#rp054131.L02         Number of runs:     60
# E(MeV)      xs(mb)     xslow(mb)      xsupp(mb)
 1.00000E-11 0.00000E+00 0.00000E+00 0.00000E+00
 2.53000E-08 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-06 0.00000E+00 0.00000E+00 0.00000E+00
 9.80000E-06 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-05 0.00000E+00 0.00000E+00 0.00000E+00
 4.90000E-05 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-04 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-03 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 3.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 6.00000E-02 0.00000E+00 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00 0.00000E+00
 2.00000E-01 5.86199E+00 1.92531E+00 9.79868E+00
 3.00000E-01 2.43392E+01 5.88577E+00 4.27926E+01
 4.00000E-01 6.33821E+01 2.97532E+01 9.70110E+01
 5.00000E-01 1.04951E+02 5.23518E+01 1.57551E+02
 6.00000E-01 1.40699E+02 7.79084E+01 2.03490E+02
 7.00000E-01 1.75000E+02 1.16849E+02 2.33152E+02
 8.00000E-01 2.11307E+02 1.54715E+02 2.67899E+02
 9.00000E-01 2.32485E+02 1.75325E+02 2.89644E+02
 1.00000E+00 2.81653E+02 2.07375E+02 3.55932E+02
 1.20000E+00 3.14864E+02 2.46249E+02 3.83479E+02
 1.40000E+00 3.39259E+02 2.65443E+02 4.13076E+02
 1.60000E+00 3.52395E+02 2.73273E+02 4.31517E+02
 1.80000E+00 3.74879E+02 2.90866E+02 4.58891E+02
 2.00000E+00 4.15897E+02 3.23861E+02 5.07933E+02
 2.20000E+00 4.57771E+02 3.57375E+02 5.58167E+02
 2.40000E+00 4.98219E+02 3.90776E+02 6.05661E+02
 2.60000E+00 5.36523E+02 4.23600E+02 6.49446E+02
 2.80000E+00 5.71970E+02 4.54579E+02 6.89362E+02
 3.00000E+00 6.04284E+02 4.83027E+02 7.25540E+02
 3.20000E+00 6.33239E+02 5.08709E+02 7.57770E+02
 3.40000E+00 6.59004E+02 5.32071E+02 7.85937E+02
 3.60000E+00 6.81635E+02 5.53345E+02 8.09926E+02
 3.80000E+00 7.01509E+02 5.72860E+02 8.30159E+02
 4.00000E+00 7.18954E+02 5.90731E+02 8.47176E+02
 4.20000E+00 7.34313E+02 6.07013E+02 8.61612E+02
 4.40000E+00 7.47994E+02 6.21808E+02 8.74179E+02
 4.60000E+00 7.60378E+02 6.35194E+02 8.85563E+02
 4.80000E+00 7.71864E+02 6.47302E+02 8.96426E+02
 5.00000E+00 7.82789E+02 6.58282E+02 9.07296E+02
 5.20000E+00 7.93389E+02 6.68244E+02 9.18535E+02
 5.40000E+00 8.03850E+02 6.77365E+02 9.30335E+02
 5.60000E+00 8.14324E+02 6.85892E+02 9.42756E+02
 5.80000E+00 8.24806E+02 6.93977E+02 9.55634E+02
 6.00000E+00 8.35393E+02 7.01946E+02 9.68841E+02
 6.20000E+00 8.46092E+02 7.10011E+02 9.82172E+02
 6.40000E+00 8.56899E+02 7.18385E+02 9.95413E+02
 6.60000E+00 8.67735E+02 7.27054E+02 1.00842E+03
 6.80000E+00 8.77587E+02 7.35545E+02 1.01963E+03
 7.00000E+00 8.84429E+02 7.42004E+02 1.02685E+03
 7.20000E+00 8.87591E+02 7.45559E+02 1.02962E+03
 7.40000E+00 8.84668E+02 7.44599E+02 1.02474E+03
 7.60000E+00 8.74630E+02 7.37549E+02 1.01171E+03
 7.80000E+00 8.58737E+02 7.25001E+02 9.92473E+02
 8.00000E+00 8.35942E+02 7.05397E+02 9.66487E+02
 8.50000E+00 7.53393E+02 6.31461E+02 8.75325E+02
