#ZVView-data-copy:  30-Jan-2019 20:33:12
#=======================================
#
#name:   ENDF/B-VIII.0: XE-131(N,N`)XE-131-L3
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  33
#data...
#            X            Y
#          MeV        barns
      0.343769            0
           0.4    0.0248602
           0.5     0.051315
           0.6    0.0741426
           0.7    0.0849235
           0.8    0.0889691
           0.9    0.0956126
             1    0.0986049
           1.1    0.0950957
           1.2    0.0891232
           1.4     0.082426
           1.6    0.0700468
             2    0.0551802
           2.6    0.0335619
             3     0.023411
             4    0.0086075
             5    0.0027822
             6  0.000752505
             7   0.00021503
             8   6.21143e-5
             9   1.79748e-5
            10   5.26636e-6
            11   1.50354e-6
            12    4.5746e-7
            13   1.41582e-7
            14   4.74881e-8
          14.5   2.79743e-8
            15   1.65762e-8
            16   6.00514e-9
            17   2.24284e-9
            18  8.65185e-10
            19  3.42663e-10
            20  1.38496e-10
//
#-------------------------------------------------------------------------------
