#ZVView-data-copy:  31-Jul-2018 05:29:47
#=======================================
#
#name:   ENDF/B-VIII.0: XE-131(N,N`)XE-131-L2
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  35
#data...
#            X            Y
#          MeV        barns
      0.165193            0
           0.2   0.00519108
           0.3     0.016676
           0.4    0.0256098
           0.5    0.0328289
           0.6     0.041581
           0.7    0.0458805
           0.8    0.0481276
           0.9    0.0520346
             1    0.0541522
           1.1    0.0526599
           1.2    0.0499678
           1.4    0.0476806
           1.6    0.0418207
             2    0.0361977
           2.6    0.0239024
             3    0.0177195
             4   0.00691677
             5     0.002277
             6  0.000633949
             7  0.000188546
             8   5.65324e-5
             9   1.67818e-5
            10    5.0006e-6
            11   1.44561e-6
            12   4.44846e-7
            13   1.39335e-7
            14   4.73311e-8
          14.5   2.80591e-8
            15   1.67295e-8
            16   6.13032e-9
            17   2.31248e-9
            18  8.99427e-10
            19  3.58481e-10
            20  1.45569e-10
//
#-------------------------------------------------------------------------------
