#ZVView-data-copy:  31-Jul-2018 16:23:01
#=======================================
#
#name:   JEFF-3.3: XE-133(N,NON)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  972
#data...
#            X            Y
#          MeV        barns
         1e-11      9557.01
   1.10304e-11       9099.7
   1.21669e-11      8664.27
   1.34206e-11      8249.67
   1.48034e-11      7854.92
   1.63287e-11      7479.06
   1.80111e-11      7121.18
   1.98669e-11      6780.42
   2.19139e-11      6455.97
   2.41719e-11      6147.05
   2.66625e-11      5852.91
   2.94097e-11      5572.84
     3.244e-11      5306.17
   3.57825e-11      5052.27
   3.94694e-11      4810.51
   4.35362e-11      4580.33
   4.80221e-11      4361.15
   5.29701e-11      4152.47
    5.8428e-11      3953.77
   6.44483e-11      3764.58
   7.10888e-11      3584.44
   7.84136e-11      3412.92
   8.64931e-11      3249.61
   9.54051e-11      3094.11
   1.05235e-10      2946.06
   1.16078e-10      2805.08
   1.28039e-10      2670.86
   1.41231e-10      2543.06
   1.55784e-10      2421.37
   1.71835e-10       2305.5
    1.8954e-10      2195.18
    2.0907e-10      2090.14
   2.30612e-10      1990.13
   2.54374e-10       1894.9
   2.80584e-10      1804.22
   3.09494e-10      1717.89
   3.41383e-10      1635.69
   3.76558e-10      1557.42
   4.15358e-10      1482.89
   4.58155e-10      1411.94
   5.05362e-10      1344.37
   5.57433e-10      1280.04
   6.14869e-10      1218.79
   6.78223e-10      1160.47
   7.48105e-10      1104.94
   8.25188e-10      1052.07
   9.10213e-10      1001.73
      1.004e-9      953.793
    1.10745e-9      908.153
    1.22155e-9      864.696
    1.34742e-9       823.32
    1.48625e-9      783.923
    1.63939e-9      746.411
    1.80831e-9      710.695
    1.99463e-9      676.687
    2.20016e-9      644.307
    2.42685e-9      613.476
    2.67691e-9      584.121
    2.95273e-9       556.17
    3.25697e-9      529.557
    3.59256e-9      504.218
    3.96272e-9      480.092
    4.37103e-9      457.123
    4.82141e-9      435.255
    5.31819e-9      414.438
    5.86616e-9      394.623
    6.47059e-9      375.763
     7.1373e-9      357.808
    7.87271e-9      340.713
    8.68389e-9      324.432
    9.57865e-9      308.924
    1.05656e-8      294.153
    1.16543e-8      280.085
    1.28551e-8       266.69
    1.41796e-8      253.932
    1.56406e-8       241.78
    1.72522e-8      230.204
    1.90298e-8      219.181
    2.09906e-8      208.683
    2.31534e-8      198.692
    2.52419e-8      190.301
       2.53e-8      190.083
    2.79068e-8      181.005
    3.07823e-8      172.355
     3.3954e-8       164.11
    3.74525e-8      156.255
    4.13115e-8      148.766
    4.55681e-8      141.637
    5.02633e-8       134.86
    5.54423e-8      128.412
    6.11549e-8      122.271
    6.74561e-8       116.42
    7.44066e-8      110.859
    8.20732e-8      105.545
    9.05297e-8      100.485
    9.98577e-8       95.678
    1.10147e-7      91.1024
    1.22353e-7      86.4454
     1.3496e-7      82.3027
    1.49908e-7      78.1044
    1.66521e-7      74.0936
    1.83679e-7      70.5443
    2.02604e-7      67.1703
     2.2348e-7      63.9568
    2.48234e-7      60.6906
    2.71906e-7      57.9827
    3.02023e-7       55.025
    3.35493e-7      52.1964
    3.70061e-7       49.701
    4.08191e-7      47.3233
     4.5025e-7      45.0574
    5.03649e-7      42.6034
    5.47815e-7      40.8511
    6.08493e-7      38.7651
    6.75925e-7      36.7708
    7.40347e-7      35.1403
     8.1095e-7      33.5764
    8.88242e-7      32.0799
    9.72949e-7      30.6635
    1.05827e-6      29.3834
    1.19207e-6      27.6905
    1.34285e-6      26.0866
    1.47084e-6      24.9316
    1.59982e-6      23.9055
    1.74011e-6        22.92
    1.89271e-6       21.983
    2.08772e-6      20.9201
    2.28682e-6      20.0013
    2.45275e-6      19.3097
    2.70547e-6      18.3788
    2.94272e-6      17.6268
    3.20077e-6      16.9012
    3.48145e-6      16.2045
    3.76022e-6      15.5948
    4.17692e-6      14.7903
     4.5432e-6      14.1909
