#ZVView-data-copy:  30-Jan-2019 14:35:23
#=======================================
#
#name:   ENDF/B-VIII.0: XE-134(N,G)XE-135
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  2833
#data...
#            X            Y
#          MeV        barns
         1e-11      13.3264
   1.10304e-11      12.6887
   1.21669e-11      12.0816
   1.34206e-11      11.5034
   1.48034e-11       10.953
   1.63287e-11      10.4289
   1.80111e-11      9.92986
   1.98669e-11       9.4547
   2.19139e-11      9.00229
   2.41719e-11      8.57152
   2.66625e-11      8.16136
   2.94097e-11      7.77083
     3.244e-11      7.39899
   3.57825e-11      7.04494
   3.94694e-11      6.70784
   4.35362e-11      6.38686
   4.80221e-11      6.08124
   5.29701e-11      5.79025
    5.8428e-11      5.51318
   6.44483e-11      5.24937
   7.10888e-11      4.99818
   7.84136e-11      4.75901
   8.64931e-11      4.53129
   9.54051e-11      4.31446
   1.05235e-10      4.10801
   1.16078e-10      3.91144
   1.28039e-10      3.72427
   1.41231e-10      3.54606
   1.55784e-10      3.37638
   1.71835e-10      3.21481
    1.8954e-10      3.06098
    2.0907e-10      2.91451
   2.30612e-10      2.77505
   2.54374e-10      2.64226
   2.80584e-10      2.51582
   3.09494e-10      2.39544
   3.41383e-10      2.28081
   3.76558e-10      2.17167
   4.15358e-10      2.06775
   4.58155e-10      1.96881
   5.05362e-10       1.8746
   5.57433e-10      1.78489
   6.14869e-10      1.69948
   6.78223e-10      1.61816
   7.48105e-10      1.54073
   8.25188e-10        1.467
   9.10213e-10       1.3968
      1.004e-9      1.32996
    1.10745e-9      1.26632
    1.22155e-9      1.20572
    1.34742e-9      1.14802
    1.48625e-9      1.09308
    1.63939e-9      1.04078
    1.80831e-9     0.990971
    1.99463e-9     0.943549
    2.20016e-9     0.898396
    2.42685e-9     0.855403
    2.67691e-9     0.814467
    2.95273e-9      0.77549
    3.25697e-9     0.738378
    3.59256e-9     0.703042
    3.96272e-9     0.669397
    4.37103e-9     0.637364
    4.82141e-9     0.606866
    5.31819e-9     0.577832
    5.86616e-9     0.550194
    6.47059e-9     0.523887
     7.1373e-9     0.498843
    7.87271e-9     0.474998
    8.68389e-9     0.452286
    9.57865e-9     0.430646
    1.05656e-8     0.410027
    1.16543e-8     0.390389
    1.28551e-8     0.371696
    1.41796e-8     0.353907
    1.56406e-8     0.336977
    1.72522e-8     0.320856
    1.90298e-8     0.305492
    2.09906e-8     0.290853
    2.31534e-8     0.276914
    2.52419e-8     0.265195
       2.53e-8      0.26489
    2.79068e-8     0.252197
    3.07823e-8     0.240111
     3.3954e-8     0.228615
    3.74525e-8     0.217686
    4.13115e-8      0.20727
    4.55681e-8     0.197328
    5.02633e-8     0.187853
    5.54423e-8     0.178834
    6.11549e-8     0.170248
    6.74561e-8     0.162085
    7.44066e-8     0.154338
    8.26521e-8     0.146424
    9.11684e-8     0.139381
    1.00562e-7     0.132676
    1.10924e-7     0.126292
    1.22353e-7     0.120215
     1.3496e-7     0.114429
