Energy,CIF_(Al),PTS_(Void),Flux
1.00E-10,1.63E+07,0.00E+00,0.00E+00
1.78E-10,4.52E+07,0.00E+00,0.00E+00
3.16E-10,2.28E+08,0.00E+00,4.29E+06
5.62E-10,7.04E+08,2.51E+07,3.18E+07
1.00E-09,3.04E+09,2.98E+09,1.20E+08
1.78E-09,9.56E+09,4.93E+09,3.18E+08
3.16E-09,3.79E+10,2.77E+10,1.23E+09
5.62E-09,1.10E+11,7.41E+10,3.88E+09
1.00E-08,3.28E+11,1.94E+11,1.04E+10
1.78E-08,8.97E+11,5.08E+11,2.82E+10
3.16E-08,1.99E+12,1.04E+12,6.03E+10
5.62E-08,3.29E+12,1.66E+12,9.43E+10
1.00E-07,3.42E+12,1.59E+12,8.42E+10
1.78E-07,1.78E+12,7.92E+11,3.30E+10
3.16E-07,7.28E+11,3.28E+11,5.35E+09
5.62E-07,5.62E+11,2.57E+11,5.26E+09
1.00E-06,5.15E+11,2.45E+11,4.88E+09
1.78E-06,4.88E+11,2.28E+11,4.50E+09
3.16E-06,4.68E+11,2.30E+11,4.37E+09
5.62E-06,4.74E+11,2.25E+11,4.01E+09
1.00E-05,4.69E+11,2.22E+11,3.72E+09
1.78E-05,4.74E+11,2.30E+11,3.10E+09
3.16E-05,4.82E+11,2.38E+11,3.24E+09
5.62E-05,4.85E+11,2.38E+11,3.12E+09
1.00E-04,4.92E+11,2.32E+11,2.99E+09
1.78E-04,4.91E+11,2.30E+11,2.73E+09
3.16E-04,4.93E+11,2.42E+11,2.54E+09
5.62E-04,5.01E+11,2.37E+11,2.57E+09
1.00E-03,5.11E+11,2.45E+11,2.41E+09
1.78E-03,5.08E+11,2.38E+11,2.20E+09
3.16E-03,5.13E+11,2.49E+11,2.32E+09
5.62E-03,5.33E+11,2.44E+11,1.83E+09
1.00E-02,5.28E+11,2.52E+11,1.82E+09
1.78E-02,5.89E+11,2.64E+11,1.88E+09
3.16E-02,7.68E+11,2.87E+11,2.12E+09
5.62E-02,5.43E+11,2.85E+11,1.33E+09
1.00E-01,8.36E+11,3.48E+11,2.09E+09
1.78E-01,1.02E+12,4.23E+11,2.35E+09
3.16E-01,1.31E+12,5.31E+11,2.89E+09
5.62E-01,1.69E+12,6.76E+11,3.45E+09
1.00E+00,2.07E+12,9.28E+11,4.37E+09
1.78E+00,2.26E+12,1.04E+12,4.65E+09
3.16E+00,1.87E+12,9.61E+11,3.93E+09
5.62E+00,8.09E+11,4.92E+11,2.17E+09
1.00E+01,1.78E+11,1.15E+11,9.63E+08
1.78E+01,7.16E+09,4.63E+09,2.54E+07
3.16E+01,0.00E+01,0.00E+01,0.00E+01
